RBI,2B,R,H,G,HR,3B,Team,SH,AVG
14,8,20,42,34,2,0,BAT,0,.309
30,16,20,55,51,5,0,AUB,0,.289
20,4,23,38,43,1,1,BRK,0,.238
17,4,20,36,51,1,1,BAT,0,.213
6,3,16,11,19,2,0,TRI,0,.212
8,5,19,26,45,0,0,SC,4,.177
27,9,23,43,48,3,0,SI,0,.272
5,2,6,14,15,0,0,BRK,1,.326
25,14,25,58,50,6,2,SC,2,.304
6,0,4,4,5,0,1,TRI,0,.235
14,3,14,32,34,2,0,JAM,0,.246
22,7,15,25,39,4,0,HV,0,.187
20,13,15,42,62,0,3,HV,5,.211
10,1,15,15,32,1,0,CT,0,.172
43,10,42,59,65,4,2,MV,1,.246
1,0,0,2,4,0,0,VER,0,.154
15,7,17,27,47,2,3,MV,1,.171
32,20,25,70,69,3,0,SI,0,.272
1,2,2,3,4,0,0,ABD,0,.200
8,3,6,16,37,0,0,SI,0,.162
17,6,8,33,32,0,0,TRI,2,.324
17,3,16,37,49,1,1,LOW,0,.228
2,1,3,14,19,0,0,ABD,2,.215
0,1,1,2,6,0,0,MV,0,.143
20,11,34,53,59,4,2,TRI,1,.264
1,0,0,0,3,0,0,AUB,0,.000
21,7,25,55,54,3,0,HV,0,.286
17,1,22,35,60,0,7,SC,2,.188
0,0,0,0,2,0,0,LOW,0,.000
27,11,22,59,71,3,0,ABD,1,.231
4,2,4,6,5,0,0,WIL,0,.429
2,0,2,3,2,0,0,LOW,0,.500
0,0,0,0,1,0,0,WIL,0,.000
1,1,2,2,2,0,0,SC,0,.250
31,11,42,94,68,3,6,SI,4,.349
6,2,13,23,27,2,1,SC,1,.271
10,7,24,29,35,1,4,TRI,1,.244
26,9,21,47,54,6,6,BAT,1,.245
5,8,12,26,35,0,0,HV,0,.215
0,0,1,0,1,0,0,LOW,0,.000
2,1,0,1,1,0,0,LOW,0,.200
12,2,13,36,26,1,0,JAM,0,.340
0,0,1,1,1,0,0,SI,0,.333
31,6,27,49,53,6,4,CT,1,.251
7,1,12,19,32,1,0,VER,0,.232
8,9,18,27,25,1,0,BAT,1,.290
8,1,2,11,14,1,1,BAT,0,.306
5,3,16,21,25,1,0,LOW,2,.241
24,11,36,66,70,0,3,HV,4,.241
1,0,2,3,3,0,0,HV,0,.231
3,3,8,5,8,1,0,TRI,0,.179
47,15,36,64,73,12,0,HV,0,.257
9,1,7,20,23,1,0,JAM,0,.217
14,10,16,31,27,3,1,SI,0,.323
36,13,33,53,57,8,0,LOW,0,.262
31,14,43,72,69,8,1,BAT,0,.290
31,8,40,55,65,1,4,MV,2,.224
9,9,20,43,32,2,2,WIL,1,.314
30,19,20,55,55,2,1,SI,0,.289
19,2,23,49,50,3,1,HV,1,.285
16,10,18,48,71,0,0,ABD,1,.211
10,5,10,21,22,1,0,WIL,0,.244
5,1,5,10,15,0,0,AUB,1,.250
8,6,17,18,24,2,0,VER,0,.209
7,7,16,34,43,1,0,CT,2,.260
0,0,0,0,1,0,0,HV,0,--
0,0,0,0,1,0,0,LOW,0,.000
18,3,21,28,32,1,2,AUB,2,.262
22,5,32,40,60,4,1,JAM,0,.220
3,0,2,5,9,1,0,BRK,0,.147
11,11,24,28,44,2,0,AUB,1,.192
29,12,33,65,67,4,3,AUB,2,.249
40,11,32,63,70,4,1,VER,1,.238
14,6,17,38,51,0,1,ABD,5,.221
40,9,32,56,54,5,6,AUB,3,.290
12,5,24,46,47,0,2,VER,2,.293
44,13,24,58,56,9,5,BRK,0,.299
5,5,7,13,17,0,0,SC,1,.245
5,1,6,9,14,0,2,WIL,0,.200
0,0,1,1,1,0,1,BAT,0,.333
11,8,10,31,37,2,1,SC,0,.250
2,0,4,5,4,1,0,LOW,0,.333
5,2,8,9,19,1,0,SC,1,.143
1,0,1,5,11,0,0,LOW,1,.135
5,3,5,9,17,1,1,BRK,0,.176
6,1,4,4,4,3,0,LOW,0,.333
23,10,31,49,52,4,5,JAM,1,.272
0,1,1,1,7,0,0,BAT,0,.059
16,7,9,25,31,3,0,LOW,0,.260
33,9,16,45,41,2,2,VER,4,.310
14,14,34,69,62,1,0,ABD,4,.271
17,5,20,41,63,2,0,HV,2,.198
1,0,0,3,2,0,0,AUB,0,.429
17,4,22,25,44,2,0,SI,0,.208
0,0,2,1,6,0,0,CT,0,.083
21,4,25,50,47,2,4,WIL,0,.284
31,15,39,60,65,10,1,SI,0,.256
23,9,25,39,44,1,1,WIL,2,.267
12,5,11,22,28,0,1,JAM,0,.247
15,10,36,58,50,1,3,MV,1,.302
11,6,18,34,49,1,0,VER,2,.221
22,11,15,50,60,2,0,SC,1,.231
16,14,20,45,55,0,1,HV,0,.247
25,11,20,42,52,5,2,CT,2,.232
6,5,10,26,39,0,0,CT,2,.222
19,11,14,46,68,2,0,WIL,1,.192
19,8,34,51,63,0,1,VER,3,.254
0,0,1,2,3,0,0,SC,0,.286
26,11,38,67,64,1,1,AUB,3,.280
24,11,38,53,55,6,4,LOW,1,.250
0,0,0,0,3,0,0,CT,0,.000
15,5,20,42,40,1,2,SC,4,.302
0,0,0,0,1,0,0,MV,0,.000
15,4,14,28,27,2,1,CT,1,.264
2,0,4,6,5,0,0,MV,0,.316
13,8,23,44,42,0,1,BAT,0,.262
0,0,5,4,6,0,0,LOW,0,.190
22,6,22,28,36,7,2,VER,1,.219
14,3,7,18,20,2,0,BRK,0,.269
