ORB,3PA,SPG,FGA,BPG,Team,#
2.3,0.0,1.0,6.4,0.7,GU,11
0.6,3.5,1.1,8.0,0.1,GU,17
0.3,0.0,0.2,1.0,0.2,GU,53
0.9,1.6,0.2,5.6,0.6,GU,21
1.4,0.1,0.7,3.9,1.1,GU,32
0.4,3.4,1.3,9.4,0.1,GU,8
1.0,3.9,1.3,7.6,0.2,GU,14
0.4,0.0,0.1,0.5,0.1,GU,57
0.2,1.5,0.2,1.9,0.0,GU,44
0.8,0.0,0.2,1.1,0.5,GU,49
2.1,2.4,0.9,9.7,1.2,GU,6
1.4,0.1,1.2,5.2,0.6,GU,27
0.1,0.1,0.0,0.3,0.0,GU,66
1.3,0.0,0.6,4.5,0.7,GU,29
0.2,0.1,0.1,0.6,0.2,GU,58
0.3,0.3,0.1,1.0,0.2,GU,54
0.6,4.1,1.0,6.7,0.0,GU,16
0.7,1.8,0.8,4.6,0.3,GU,22
0.7,0.3,0.2,1.1,0.4,GU,52
0.0,0.3,0.1,0.3,0.0,GU,63
0.5,0.0,0.0,1.5,0.0,GU,51
1.6,0.2,0.3,4.3,1.3,GU,26
0.8,3.2,1.1,6.0,0.2,GU,20
1.3,4.1,1.0,8.3,0.6,GU,10
1.1,2.9,0.8,6.5,0.4,GU,18
0.0,0.0,0.0,0.2,0.0,GU,67
0.4,1.8,0.4,4.4,0.6,GU,30
1.6,0.1,0.2,5.8,1.8,GU,23
1.1,2.4,0.8,5.6,0.6,GU,24
0.2,1.7,0.8,2.9,0.0,GU,36
0.0,0.0,0.0,0.2,0.0,GU,68
0.1,0.7,0.1,1.0,0.1,GU,56
