Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Ryan Kalish,Bos,4,12,1,5,0,0,0,0,0,0,1,2,0.417,0.462,0.417,0.878
Dustin Pedroia,Bos,24,88,10,27,6,0,3,10,7,1,9,6,0.307,0.364,0.477,0.841
Jarrod Saltalamacchia,Bos,16,51,7,10,3,1,2,5,0,0,10,19,0.196,0.328,0.412,0.74
Jacoby Ellsbury,Bos,19,76,7,22,1,0,2,10,3,2,5,12,0.289,0.333,0.382,0.715
Cody Ross,Bos,26,98,12,23,7,0,3,12,1,1,6,30,0.235,0.283,0.398,0.681
Daniel Nava,Bos,18,51,5,12,3,0,1,5,0,0,4,15,0.235,0.291,0.353,0.644
Mauro Gomez,Bos,19,46,5,10,0,2,1,10,0,0,2,13,0.217,0.245,0.37,0.614
Danny Valencia,Bos,4,16,1,3,0,0,1,3,0,0,0,4,0.188,0.188,0.375,0.563
Pedro Ciriaco,Bos,26,92,10,20,5,0,0,3,5,3,4,16,0.217,0.25,0.272,0.522
Jose Iglesias,Bos,17,45,5,7,2,0,1,1,1,0,4,13,0.156,0.255,0.267,0.522
Ryan Lavarnway,Bos,25,82,7,13,5,0,2,10,0,0,4,20,0.159,0.195,0.293,0.488
Scott Podsednik,Bos,23,71,2,15,2,0,0,2,1,0,2,12,0.211,0.233,0.239,0.472
James Loney,Bos,21,70,2,13,2,0,0,3,0,0,4,9,0.186,0.227,0.214,0.441
Mike Aviles,Bos,15,53,4,9,1,0,0,1,2,0,4,8,0.17,0.228,0.189,0.417
Guillermo Quiroz,Bos,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
Ivan De Jesus,Bos,6,7,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0
Che-Hsuan Lin,Bos,1,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
