RBI,OPS,SO,SLG
2,0.359,10,.175
7,0.543,18,.286
3,0.432,31,.196
23,0.7,49,.355
20,0.621,40,.317
3,0.496,15,.228
27,0.703,45,.366
5,0.714,26,.400
0,0.143,2,.000
1,0.443,6,.174
2,0.555,8,.269
2,0.833,1,.333
19,0.592,64,.305
15,0.603,31,.272
0,0.817,3,.400
5,0.528,22,.232
9,1.671,1,1.071
0,0.59,4,.313
41,0.822,91,.478
19,0.733,46,.381
4,0.608,7,.381
3,0.477,7,.238
14,0.662,38,.335
9,0.58,30,.248
23,0.677,47,.372
5,0.558,28,.243
31,0.724,50,.414
26,0.741,66,.393
7,0.499,20,.183
7,0.448,15,.214
13,0.634,36,.350
7,0.926,5,.571
6,0.479,12,.238
4,0.717,3,.267
0,0.0,1,.000
15,0.516,80,.247
9,0.754,20,.347
6,0.524,19,.245
3,0.372,15,.167
18,0.589,28,.274
8,0.574,25,.299
10,0.675,26,.350
37,0.818,61,.452
2,0.493,14,.247
2,2.25,0,1.500
2,0.388,9,.125
6,0.575,25,.288
10,0.627,12,.316
2,0.339,8,.133
18,0.677,28,.333
4,0.598,20,.260
11,0.583,11,.295
5,0.624,16,.280
2,0.533,1,.200
9,0.485,9,.245
18,0.909,13,.517
12,0.591,17,.308
26,0.604,40,.329
4,0.74,6,.387
18,0.603,28,.315
1,0.837,2,.375
21,0.635,24,.384
8,0.579,41,.293
6,0.444,9,.250
24,0.742,55,.416
32,0.728,31,.387
13,0.716,29,.362
5,0.461,19,.190
12,0.582,62,.302
7,0.608,53,.279
21,0.557,33,.273
8,0.539,47,.236
20,0.686,50,.370
27,0.608,70,.332
14,0.587,40,.315
10,0.711,40,.364
3,1.196,1,.722
2,0.733,2,.400
9,0.54,24,.271
14,0.553,48,.324
4,0.661,11,.370
5,0.872,2,.548
0,0.714,3,.429
13,0.501,47,.258
27,0.761,31,.362
24,0.532,56,.286
