G,Age,AST%,eFG%,Rk
57,26-059,29.0,.167,57
42,26-015,18.1,.333,42
9,25-280,16.8,.556,9
23,25-324,0.0,.000,23
17,25-299,0.0, ,17
56,26-057,20.8,.000,56
18,25-301,36.0,.500,18
14,25-292,35.6,.333,14
4,25-272,51.0,.458,4
7,25-277,55.1,.333,7
30,25-355,7.8,.000,30
16,25-295,29.8,.500,16
3,25-267,11.5,.286,3
31,25-357,0.0,.571,31
35,25-364,15.0,.250,35
11,25-285,33.5,.333,11
21,25-317,25.8,.333,21
8,25-278,22.9,.111,8
49,26-027,23.3,.667,49
36,26-001,0.0,.667,36
6,25-275,30.9,.650,6
15,25-294,14.8,.200,15
25,25-329,20.2,.333,25
