IAP,G,IGP,#,Points
43.9,9,22.0,146,27
36.0,20,40.0,19,38
42.4,11,33.3,47,25
59.3,4,14.8,93,20
41.8,15,27.3,139,38
38.0,12,24.0,34,31
45.9,10,27.0,116,27
43.5,5,21.7,92,15
37.9,7,24.1,108,18
18.5,7,25.9,21,12
47.8,13,19.4,159,45
41.4,8,27.6,141,20
22.0,10,24.4,23,19
35.7,9,21.4,138,24
44.4,7,19.4,106,23
39.4,15,22.7,142,41
18.4,19,38.8,16,28
26.0,11,22.0,11,24
35.7,5,11.9,154,20
45.2,12,28.6,35,31
51.5,4,6.1,168,38
34.8,7,30.4,44,15
37.5,17,30.4,78,38
0.0,7,35.0,29,7
18.4,13,34.2,30,20
33.3,6,33.3,6,12
16.3,10,23.3,43,17
44.7,6,15.8,115,23
49.1,15,26.3,95,43
29.6,26,36.6,24,47
25.6,10,25.6,40,20
50.0,8,25.0,58,24
31.2,6,37.5,136,11
24.5,16,32.7,63,28
42.5,8,20.0,157,25
54.5,7,21.2,129,25
28.9,9,23.7,13,20
53.7,9,16.7,131,38
29.0,8,25.8,74,17
41.2,5,14.7,121,19
52.3,9,20.5,137,32
21.1,13,34.2,72,21
13.6,5,22.7,67,8
50.0,9,25.0,147,27
33.9,18,32.1,60,37
53.3,6,20.0,144,22
25.7,4,11.4,149,13
50.0,5,17.9,140,19
36.4,7,21.2,135,19
35.0,9,22.5,49,23
28.1,14,43.8,22,23
34.1,3,6.8,164,18
37.3,15,25.4,61,37
36.4,7,21.2,59,19
36.8,4,21.1,148,11
28.9,17,44.7,10,28
23.1,7,17.9,124,16
48.6,5,14.3,155,22
26.7,5,16.7,161,13
52.3,11,25.0,36,34
61.3,12,19.4,87,50
46.7,7,15.6,151,28
46.0,9,18.0,126,32
22.6,13,21.0,37,27
16.7,7,29.2,84,11
24.4,14,31.1,46,25
30.2,12,27.9,31,25
37.9,7,24.1,53,18
43.2,8,21.6,79,24
43.1,16,24.6,99,44
38.2,7,20.6,150,20
46.9,4,12.5,167,19
48.5,4,12.1,153,20
36.7,16,32.7,18,34
33.3,14,42.4,120,25
44.8,6,20.7,103,19
10.0,12,40.0,12,15
37.8,12,26.7,128,29
37.5,6,15.0,122,21
40.5,7,18.9,134,22
53.3,4,13.3,160,20
28.6,3,10.7,169,11
50.8,9,14.3,132,41
33.3,1,2.2,170,16
60.0,2,10.0,158,14
21.4,12,42.9,17,18
36.4,7,21.2,85,19
34.4,5,15.6,162,16
43.5,12,26.1,68,32
44.9,9,18.4,111,31
41.4,6,20.7,110,18
47.8,6,13.0,156,28
47.1,22,31.4,86,55
38.7,17,27.4,94,41
