POS,Player,SB,SH,Team,OBP,OPS,AVG
OF,A Eaton,0,0,DIA,.600,1.1,.500
1B,M Scioscia,0,0,ANG,.245,0.5,.213
CF,D DeJesus,1,0,CUB,.429,0.929,.333
RF,J Beras,1,0,RAN,.314,0.752,.250
1B,M Herum,1,0,DIA,.369,0.673,.268
OF,R Crawford,10,3,CUB,.299,0.575,.210
3B,K Bryant,0,0,CUB,.143,0.476,.167
2B,L Valenzuela,2,0,ROY,.200,0.33,.130
C,D Lopez,0,0,ATH,.394,0.794,.200
C,N Rosario,0,0,CUB,.000,0.0,.000
CF,B Jackson,0,0,CUB,.133,0.205,.071
3B,T Hankins,4,0,IND,.474,1.007,.333
SS,W Solano,0,0,ATH,.290,0.483,.154
1B,P Llewellyn,3,3,DIA,.259,0.546,.194
1B,R Huck,0,0,ATH,.533,1.383,.475
OF,M Fish,6,0,ANG,.451,1.163,.409
1B,L Uxa,2,0,RED,.379,0.818,.281
CF,E Hargreaves,0,0,RED,.364,0.664,.300
2B,J Delgado,0,0,GIA,.286,0.452,.167
SS,C Penalver,0,0,CUB,.333,0.487,.154
3B,R Cavan,0,0,GIA,.568,1.252,.526
SS,C Thompson,3,1,RED,.341,0.682,.266
C,J Atkins,0,0,ROY,.091,0.091,.000
OF,J Urena,1,0,PAD,.341,0.849,.257
2B,F Ozuna,1,0,DIA,.375,0.834,.351
C,C Gonzalez,5,2,ROY,.270,0.491,.202
C,R Valenzuela,0,0,PAD,.274,0.539,.221
CF,B McKinney,7,0,ATH,.383,0.798,.320
3B,R Dale,3,3,ROY,.318,0.608,.237
1B,A Chavez,8,2,RED,.249,0.494,.209
OF,E Rubio,4,1,BRE,.386,0.867,.314
C,L Lara,0,0,ROY,.200,0.414,.143
OF,H Mercedes,1,0,GIA,.255,0.621,.215
OF,D McClure,1,0,IND,.282,0.579,.218
C,C Moorman,0,1,RAN,.264,0.591,.210
1B,B Serrato,1,0,RAN,.450,0.983,.267
LF,D Compton,0,0,DOD,.091,0.182,.091
C,E Smith,1,0,DOD,.600,0.933,.333
SS,A Allbritton,5,0,ANG,.308,0.619,.262
3B,R Bruguera,0,0,PAD,.192,0.41,.087
SS,B Miller,0,0,GIA,.412,0.649,.211
2B,E Charles,0,0,PAD,.375,0.946,.286
2B,N Goro,13,5,ANG,.287,0.569,.218
C,D Reid-Foley,0,1,DOD,.333,0.625,.208
OF,R Torres,3,1,DOD,.267,0.601,.178
C,J Alfaro,2,0,RAN,.500,1.31,.429
C,C Garay,0,2,RAN,.310,0.565,.214
C,B Teschner,0,0,RAN,.385,0.585,.200
3B,J Arenado,0,0,GIA,.286,0.549,.211
3B,J Vitters,0,0,CUB,.294,0.448,.077
C,D Torres,1,2,MAR,.296,0.576,.240
OF,T Horan,1,0,GIA,.321,0.709,.245
OF,R King,3,4,ROY,.311,0.582,.212
RF,R Sweeney,0,0,CUB,.412,0.84,.286
CF,K Garcia,6,5,RED,.399,0.876,.328
SS,S Halcomb,5,1,BRE,.406,0.76,.317
OF,B Thomas,0,0,MAR,.321,0.706,.269
1B,D Cooper,0,0,IND,.481,1.041,.440
3B,L Fontaine,0,0,MAR,.288,0.518,.200
SS,J Westbrook,3,0,DIA,.373,0.84,.292
C,T Dial,2,0,PAD,.338,0.681,.271
SS,R Moreno,10,1,GIA,.403,0.856,.342
C,A Paz,0,0,ATH,.304,0.641,.228
OF,J Cardona,7,0,RAN,.340,0.705,.280
OF,J Zarraga,4,0,ATH,.339,0.779,.275
C,B Lopez,0,0,DIA,.381,0.7,.255
RF,J Whitaker,0,0,ATH,.000,0.0,.000
OF,S Masik,2,1,ATH,.415,0.727,.250
2B,O Florentino,3,0,RED,.240,0.423,.161
C,J De La Cruz,1,0,IND,.433,0.845,.294
C,J Thys,0,1,DIA,.255,0.484,.208
2B,W Bloomquist,0,0,DIA,.571,1.155,.500
3B,M Giuffre,1,0,IND,.421,0.652,.154
C,S Kim,0,0,ATH,.233,0.381,.148
2B,L Mendez,9,4,RAN,.356,0.734,.281
C,D Stiner,0,0,GIA,.310,0.742,.297
2B,K Pellant,15,5,ANG,.379,0.831,.310
3B,G Fink,2,0,IND,.355,0.78,.263
C,J Linares,0,0,DOD,.000,0.0,.000
CF,J Fargas,8,1,GIA,.393,0.744,.299
1B,A Sharkey,1,2,BRE,.300,0.579,.209
OF,M Shannon,0,0,ANG,.250,0.583,.222
2B,T Pederson,1,0,DOD,.438,0.788,.317
LF,J Moore,0,0,DOD,.333,0.788,.273
C,I Akau,0,0,ATH,.182,0.348,.133
C,G Erickson,0,0,DOD,.500,0.929,.286
2B,T Wrenn,0,1,RAN,.383,0.798,.317
SS,C Daal,0,0,RED,.182,0.325,.143
3B,Y Mendoza,2,2,IND,.367,0.714,.281
OF,B McQuown,10,1,ATH,.417,0.784,.277
C,T Ross,0,0,GIA,.308,0.58,.182
3B,T Neuhaus,6,0,BRE,.311,0.613,.231
RF,E Minaya,0,0,PAD,.000,0.0,.000
OF,E Rivera,8,3,BRE,.257,0.493,.180
SS,F Cordero,11,2,PAD,.381,0.891,.333
3B,R Duran,0,0,RAN,.000,0.0,.000
OF,A Palma,0,0,MAR,.380,0.809,.261
RF,T Alexander,5,0,DOD,.392,0.91,.253
2B,M Santana,4,0,DOD,.212,0.456,.149
