SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
2005 - 2006,Stockton Thunder,ECHL,72,18,-,40,-,14,192,260,50,22,Did not make playoffs
2006 - 2007,Stockton Thunder,ECHL,72,38,-,24,-,10,225,197,86,5,Conference QF loss
2007 - 2008,Stockton Thunder,ECHL,72,27,-,40,-,5,200,250,59,8,Conference QF loss
2008 - 2009,Stockton Thunder,ECHL,72,32,-,33,-,7,210,237,71,9,Conference SF loss
2009 - 2010,Stockton Thunder,ECHL,72,33,-,29,-,10,235,241,76,5,Conference Final loss
2010 - 2011,Stockton Thunder,ECHL,72,37,-,23,-,12,232,210,86,3,Conference QF loss
2011 - 2012,Stockton Thunder,ECHL,72,34,-,33,-,5,204,216,73,5,Conference SF loss
2012 - 2013,Stockton Thunder,ECHL,72,37,-,26,-,9,223,216,83,4,Final loss
2013 - 2014,Stockton Thunder,ECHL,72,33,-,31,-,8,224,235,74,3,-
2014 - 2015,Stockton Thunder,ECHL,72,21,-,49,-,2,199,296,44,7,Did not make playoffs
