Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,site id
 , , , , , , , , , , , , 
HORTON Z taylor,USA,M,10M999A,0.0,0.0,33.4,1992.0,L,1.0,B3,08/14/2010,USAM0156
 , , , , , , , , , , , , 
HORTON Z taylor,USA,M,10M999A,0.0,3610.0,0.0,1992.0,L,1.0,B3,08/14/2010,USAM0156
 , , , , , , , , , , , , 
HORTON Z taylor,USA,M,10M999A,49.5,0.0,0.0,1992.0,L,1.0,B3,08/14/2010,USAM0156
HORTON Z taylor,USA,M,10M999A,49.5,3610.0,33.4,1992.0,L,1.0,B3,08/14/2010,USAM0156
 , , , , , , , , , , , , 
HORTON Z taylor,USA,M,10W074B,0.0,0.0,39.4,1992.0,L,1.0,B3,07/24/2010,USAW0463
 , , , , , , , , , , , , 
HORTON Z taylor,USA,M,10W074B,0.0,4590.0,0.0,1992.0,L,1.0,B3,07/24/2010,USAW0463
 , , , , , , , , , , , , 
HORTON Z taylor,USA,M,10W074B,45.0,0.0,0.0,1992.0,L,1.0,B3,07/24/2010,USAW0463
HORTON Z taylor,USA,M,10W074B,45.0,4590.0,39.4,1992.0,L,1.0,B3,07/24/2010,USAW0463
