Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
2006-08-18,ARI,SDN,L 2-8 @SDN,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1st career game, 1st career hit"
2006-08-23,ARI,SFN,L 6-7 @SFN,3,2,1,0,0,1,2,0,0,1,1,0,0,0,0,0,3,"1st career home run, 1st career RBI"
2006-08-30,ARI,SDN,L 1-4 vs SDN,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,8,1st career stolen base
2006-09-02,ARI,WAS,L 6-7 @WAS,5,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,9,5 RBIs
2007-04-30,ARI,LAN,W 9-1 @LAN,5,2,3,0,0,2,3,0,0,0,1,1,0,0,0,0,52,2 home runs
2007-05-11,ARI,HOU,W 3-1 @HOU,4,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,62,2 home runs
2007-08-14,ARI,FLO,L 5-14 @FLO,5,2,3,0,0,2,2,0,0,0,1,0,0,0,0,0,137,2 home runs
2007-08-17,ARI,ATL,W 4-0 @ATL,5,2,3,1,0,2,2,0,0,0,1,0,0,0,0,0,140,2 home runs
2007-08-26,ARI,CHN,W 5-4 vs CHN,4,2,2,0,0,2,4,0,0,0,2,0,0,0,0,0,148,2 home runs
2008-04-03,ARI,CIN,L 2-3 @CIN,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,181,4 strikeouts
2008-04-05,ARI,COL,W 7-2 @COL,5,2,2,0,0,2,3,0,0,1,1,0,0,0,0,0,183,2 home runs
2008-04-23,ARI,LAN,L 3-8 @LAN,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,198,4 strikeouts
2008-06-13,ARI,KCA,W 1-0 vs KCA,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,245,4 strikeouts
2008-07-23,ARI,CHN,L 6-10 vs CHN,4,2,3,3,0,0,0,1,1,0,0,0,0,0,0,0,278,3 Doubles
2008-09-21,ARI,COL,W 13-4 @COL,5,4,3,0,1,1,4,0,0,1,0,0,0,0,0,1,332,4 runs scored
2009-05-20,ARI,FLO,L 6-8 @FLO,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,375,4 strikeouts
2009-06-17,ARI,KCA,W 12-5 @KCA,2,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,402,4 runs scored
2009-06-18,ARI,KCA,W 12-5 @KCA,4,1,4,2,1,0,1,1,0,1,0,0,0,0,0,0,403,4 hits
2009-09-06,ARI,COL,L 5-13 @COL,3,3,3,0,0,3,3,0,0,2,0,0,0,0,0,0,449,3 home runs
2009-10-02,ARI,CHN,W 12-3 @CHN,4,4,4,1,0,1,1,0,0,1,0,0,0,0,0,0,470,"4 runs scored, 4 hits"
2010-04-09,ARI,PIT,W 9-1 vs PIT,4,1,3,0,0,1,5,0,0,0,0,0,0,0,0,0,476,5 RBIs
2010-04-28,ARI,COL,W 12-11 @COL,4,1,2,0,0,1,5,0,0,1,1,0,0,0,0,0,493,5 RBIs
2010-05-06,ARI,HOU,W 6-3 @HOU,4,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,500,500th career game
2010-06-05,ARI,COL,W 4-3 vs COL,3,1,1,0,0,0,0,3,0,1,1,0,0,0,0,0,527,3 stolen bases
2010-06-13,ARI,SLN,W 7-5 vs SLN,5,2,3,1,0,2,3,0,0,0,2,0,0,0,0,0,535,2 home runs
2010-07-02,ARI,LAN,W 12-5 vs LAN,5,3,3,1,0,1,5,1,0,0,1,0,0,0,0,0,550,5 RBIs
2010-08-07,ARI,SDN,W 6-5 vs SDN,4,2,3,0,0,2,2,0,0,1,0,0,0,0,0,0,580,2 home runs
2011-04-10,ARI,CIN,W 10-8 vs CIN,4,1,1,0,0,1,4,0,0,0,1,0,0,0,1,0,636,100th career home run
2011-04-27,ARI,PHI,L 4-8 vs PHI,4,2,2,0,0,2,3,0,0,0,1,0,0,0,0,0,651,2 home runs
2011-08-21,ARI,ATL,L 0-1 @ATL,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,753,100th career stolen base
2012-08-18,ARI,HOU,L 12-4 @HOU,5,2,4,1,0,1,3,0,0,0,0,0,0,0,0,0,860,4 hits
2013-04-24,OAK,BOS,L 5-6 @BOS,3,2,2,0,0,2,4,1,0,1,1,0,0,0,0,0,1102,2 home runs
2013-06-26,OAK,CIN,W 5-0 vs CIN,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1102,4 strikeouts
2014-06-14,NYN,SDN,L 0-5 vs SDN,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1103,4 strikeouts
2014-06-24,NYN,OAK,W 10-1 vs OAK,3,3,2,0,0,2,2,0,0,1,0,0,0,0,0,0,1103,2 home runs
2015-05-19,NYA,WAS,L 6-8 @WAS,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1140,500th career RBI
2015-07-28,NYA,TEX,W 21-5 @TEX,6,3,3,2,0,1,5,0,0,1,1,0,0,0,0,0,1196,5 RBIs
