pts,e,pts/s,ta,k,tot
313.0,122,2.7,845,285,45
239.0,73,1.8,529,168,38
374.5,141,2.9,960,349,44
72.0,15,0.8,149,51,22
462.5,100,3.6,917,399,53
309.0,108,2.5,671,266,77
201.0,75,2.0,412,162,50
157.0,75,1.7,446,141,29
249.0,103,2.1,658,213,61
63.5,11,0.5,125,34,3
30.0,10,0.3,66,2,0
9.0,0,0.1,15,1,0
202.5,70,1.9,547,169,40
23.0,1,0.3,16,4,0
38.0,7,0.4,66,17,0
177.0,65,1.6,390,132,72
358.5,123,3.1,882,313,37
371.0,164,3.1,939,323,38
258.5,123,2.4,886,240,20
53.0,7,0.4,26,3,0
12.0,9,0.1,38,2,0
213.0,116,2.1,512,173,27
424.5,166,3.2,1070,384,67
48.0,12,0.4,128,13,0
396.5,191,3.5,1181,358,26
34.0,2,0.3,37,7,0
471.0,137,4.0,880,369,143
40.0,22,0.3,106,13,0
