CS,OPS,SH,POS,SLG,RBI,3B,2B
4,0.791,0,OF,0.449,53,1,17
4,0.808,2,LF,0.445,98,1,48
0,0.25,0,CF,0.0,0,0,0
23,0.63,5,CF,0.299,21,3,7
0,0.567,1,CF,0.323,13,2,6
0,0.594,0,RF,0.333,11,1,7
2,0.777,2,LF,0.459,39,9,13
6,0.614,6,OF,0.3,37,3,11
10,0.712,3,CF,0.352,30,3,16
11,0.777,5,CF,0.42,42,9,33
3,0.794,2,RF,0.401,29,5,16
5,0.705,5,CF,0.377,41,5,15
6,0.826,3,CF,0.485,35,2,13
0,1.5,0,LF,0.75,0,0,0
8,0.545,7,CF,0.281,33,3,18
6,0.621,2,OF,0.323,36,4,13
13,0.726,21,CF,0.381,42,5,17
0,0.896,0,OF,0.47,12,1,3
7,0.581,2,OF,0.311,26,6,15
13,0.712,6,OF,0.406,81,9,27
3,0.521,3,RF,0.229,3,0,3
2,0.626,0,OF,0.329,14,1,4
4,0.809,4,CF,0.443,40,1,20
4,0.592,6,CF,0.294,11,1,4
0,0.607,0,LF,0.313,2,0,3
0,0.192,0,RF,0.115,1,0,1
4,0.735,0,CF,0.433,31,3,13
7,0.771,2,OF,0.451,73,5,22
17,0.77,2,CF,0.386,52,2,21
3,0.656,1,OF,0.353,16,0,8
3,0.798,3,LF,0.469,46,1,22
6,0.57,0,OF,0.327,49,3,16
11,0.743,3,CF,0.406,34,9,23
2,0.502,0,OF,0.278,5,3,0
5,0.644,5,CF,0.348,35,2,13
2,0.71,0,OF,0.382,0,2,3
4,0.587,2,OF,0.315,28,3,15
7,0.722,0,OF,0.388,65,3,30
9,0.684,3,CF,0.366,29,12,12
2,0.477,0,OF,0.234,13,0,13
0,0.875,0,OF,0.471,15,0,13
1,0.698,2,RF,0.406,15,2,5
20,0.686,6,CF,0.365,64,6,26
2,0.618,2,LF,0.321,11,1,9
0,0.655,0,CF,0.368,9,0,3
1,0.59,1,LF,0.231,4,0,0
6,0.757,1,OF,0.391,14,2,6
