Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA003,0.0,6760.0,0.0,1991.0,R,1.0,OpeM,07/04/2010,4.0,ITA00011
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA003,51.0,0.0,0.0,1991.0,R,1.0,OpeM,07/04/2010,3.0,ITA00011
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA003,0.0,6830.0,0.0,1991.0,R,2.0,OpeM,07/04/2010,4.0,ITA00011
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA003,47.25,0.0,0.0,1991.0,R,2.0,OpeM,07/04/2010,3.0,ITA00011
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA13,0.0,7840.0,0.0,1991.0,L,1.0,OpeM,07/18/2010,1.0,ITA00012
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA13,42.5,0.0,0.0,1991.0,L,1.0,OpeM,07/18/2010,4.0,ITA00012
BENATTI Nicholas,ITA,M,10ITA13,0.0,0.0,0.0,1991.0,L,2.0,OpeM,07/18/2010,4.0,ITA00012
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA13,0.0,7390.0,0.0,1991.0,L,2.0,OpeM,07/18/2010,1.0,ITA00012
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA13,0.0,8880.0,0.0,1991.0,L,3.0,OpeM,07/18/2010,1.0,ITA00012
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA13,50.5,0.0,0.0,1991.0,L,3.0,OpeM,07/18/2010,4.0,ITA00012
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA007,0.0,8660.0,0.0,1991.0,L,1.0,-21M,07/28/2010,1.0,ITAFISN2
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA007,37.5,0.0,0.0,1991.0,L,1.0,-21M,07/28/2010,4.0,ITAFISN2
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA007,0.0,8090.0,0.0,1991.0,L,2.0,-21M,07/28/2010,1.0,ITAFISN2
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA009,0.0,7760.0,0.0,1991.0,R,1.0,OpeM,08/01/2010,2.0,ITAFISN2
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA009,49.5,0.0,0.0,1991.0,R,1.0,OpeM,08/01/2010,8.0,ITAFISN2
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA009,0.0,8110.0,0.0,1991.0,R,2.0,OpeM,08/01/2010,2.0,ITAFISN2
 , , , , , , , , , , , , , 
BENATTI Nicholas,ITA,M,10ITA009,42.0,0.0,0.0,1991.0,R,2.0,OpeM,08/01/2010,8.0,ITAFISN2
