GIDP,AB,OBP,Player,3B
3,381,0.325,C d'Arnaud,4
0,59,0.21,M Fisher,0
0,5,0.4,C Utley,0
5,278,0.282,S Bynum,2
0,9,0.4,R Andino,0
3,129,0.226,M Rojas,0
2,8,0.25,J Turner,0
2,417,0.309,T Kuhn,4
1,41,0.205,T Manzella,0
4,65,0.257,B Dlugach,0
9,275,0.34,R Olmedo,1
0,39,0.357,Y Mujica,0
0,18,0.333,J Toole,0
1,216,0.304,S O'Malley,2
0,14,0.313,R Dent,0
1,138,0.259,E Escobar,3
3,203,0.297,B Emaus,0
8,285,0.325,T Beckham,1
0,8,0.111,J Barfield,0
2,134,0.193,C Iorg,1
8,503,0.368,C Phelps,3
0,23,0.208,J Castro,0
3,282,0.305,B Friday,2
14,377,0.32,G Petit,0
9,346,0.323,R Brignac,2
5,181,0.286,B Dozier,1
1,39,0.256,C Sanchez,0
1,166,0.305,M Hollimon,2
3,181,0.357,R Gotay,1
3,250,0.295,W Harris,0
2,29,0.2,R Cedeno,0
2,100,0.252,O Navarro,1
5,174,0.307,D Bernier,0
2,234,0.333,J Johnson,0
0,6,0.571,S Rodriguez,0
3,209,0.357,J Mercer,1
14,391,0.337,K Frandsen,0
7,348,0.262,A Ciriaco,0
1,83,0.392,B Conrad,0
10,257,0.327,J Rodriguez,1
