Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Cody Ross,Bos,132,27,39,7,1,12,35,1,0,16,25,0.295,0.373,0.636,1.01
David Ortiz,Bos,125,27,40,9,0,9,22,0,1,12,24,0.32,0.377,0.608,0.985
Will Middlebrooks,Bos,90,14,27,5,0,6,20,1,0,8,23,0.3,0.35,0.556,0.906
Dustin Pedroia,Bos,164,27,50,13,1,4,20,5,0,19,14,0.305,0.378,0.47,0.848
Adrian Gonzalez,Bos,172,24,52,14,0,6,36,0,0,6,28,0.302,0.335,0.488,0.824
Kelly Shoppach,Bos,76,8,19,8,1,3,10,0,0,6,32,0.25,0.313,0.5,0.813
Pedro Ciriaco,Bos,79,10,24,3,1,2,4,3,3,2,13,0.304,0.321,0.443,0.764
Mike Aviles,Bos,147,17,42,6,0,5,15,5,2,9,19,0.286,0.325,0.429,0.753
Darnell McDonald,Bos,42,7,9,3,0,1,6,0,0,7,9,0.214,0.327,0.357,0.684
Jacoby Ellsbury,Bos,106,13,31,4,0,0,5,4,1,4,17,0.292,0.318,0.33,0.648
Daniel Nava,Bos,81,10,15,3,0,3,10,0,0,11,22,0.185,0.28,0.333,0.613
Mauro Gomez,Bos,48,7,11,2,0,0,5,0,0,4,13,0.229,0.288,0.271,0.559
Ryan Lavarnway,Bos,50,4,9,2,0,1,5,0,0,3,12,0.18,0.226,0.28,0.506
Jarrod Saltalamacchia,Bos,53,3,9,3,0,1,6,0,0,3,22,0.17,0.211,0.283,0.494
