USG%,TRB%,Opp,MP,STL%
10.7,7.5,MIL,9:00,0.0
0.0,24.0,IND,5:00,0.0
3.8,0.0,LAL,11:00,4.4
10.5,6.3,IND,21:00,0.0
0.0,30.8,CHH,2:00,0.0
23.6,0.0,MIA,4:00,28.8
13.8,13.7,LAC,10:00,0.0
17.1,3.8,CHH,13:00,3.9
12.1,8.7,NYK,21:00,0.0
14.8,13.4,CHI,17:00,3.1
9.2,3.3,ATL,16:00,0.0
9.1,0.0,SEA,9:00,0.0
14.6,0.0,BOS,3:00,0.0
9.7,0.0,ORL,9:00,0.0
9.4,10.7,MIA,9:00,0.0
20.1,0.0,UTA,7:00,7.4
11.3,0.0,ORL,7:00,0.0
0.0,9.0,DAL,6:00,16.9
21.0,7.6,CHH,14:00,0.0
6.2,9.8,CHI,16:00,3.2
10.9,0.0,PHO,8:00,0.0
46.5,0.0,TOR,1:00,0.0
8.2,3.1,NYK,24:00,0.0
3.5,0.0,LAL,13:00,4.0
5.5,0.0,ORL,7:00,0.0
11.8,10.3,PHO,11:00,0.0
