TOV%,Opp,USG%,DRB%,GS,Date
0.0,HOU,4.9,12.4,0,2002-11-09
14.5,IND,12.7,12.5,0,2003-01-11
0.0,NYK,14.5,22.0,0,2003-02-21
14.8,CHI,8.4,11.8,0,2002-11-20
0.0,PHO,4.3,19.0,0,2002-11-30
0.0,LAL,9.1,10.7,0,2003-04-16
29.1,TOR,7.7,26.8,0,2003-02-14
0.0,HOU,17.7,14.9,0,2003-01-04
12.2,DEN,11.9,6.5,0,2003-02-24
25.0,SEA,15.1,12.0,0,2003-03-15
0.0,TOR,11.5,17.8,0,2002-12-27
20.0,DAL,8.6,8.9,0,2002-11-04
0.0,MIN,11.3,26.0,0,2003-01-08
0.0,DEN,15.4,0.0,0,2003-04-06
33.3,BOS,6.3,31.2,0,2003-03-26
 ,MIL,0.0,14.0,0,2002-11-22
22.2,CHI,13.8,23.8,0,2003-03-06
12.5,POR,13.2,21.6,0,2003-04-04
50.0,DEN,10.0,0.0,0,2002-11-29
0.0,MEM,10.5,9.2,0,2002-11-11
11.1,LAC,16.2,19.6,0,2003-02-26
0.0,PHO,16.3,27.3,0,2003-03-11
33.3,PHO,6.8,15.2,0,2003-04-11
0.0,UTA,12.5,9.7,0,2002-11-02
12.5,CLE,14.4,25.9,0,2003-01-15
0.0,LAC,13.4,22.9,0,2002-11-18
16.7,DAL,11.7,20.9,0,2003-04-12
25.0,PHI,7.4,19.6,0,2003-03-28
22.8,NOH,16.2,43.9,0,2002-12-18
20.5,SEA,12.6,12.5,0,2003-01-28
41.0,SAS,9.2,26.1,0,2003-02-05
11.8,LAL,15.1,24.3,0,2003-01-22
18.4,NJN,9.7,23.5,0,2003-01-23
16.7,POR,8.8,38.9,0,2002-12-20
34.6,SAS,17.9,5.5,0,2002-10-30
33.3,SEA,6.0,9.3,0,2003-03-19
34.7,UTA,6.2,13.4,0,2003-01-31
