m,d/s,pts/s,ta,bs,a/s,s
30,0.71,0.8,149,6,3.73,85
29,1.67,0.3,16,0,0.18,88
30,0.82,2.9,730,41,0.05,110
33,1.03,1.8,502,14,0.11,122
30,5.81,0.4,128,0,0.17,110
33,1.78,1.5,487,1,5.63,117
30,1.98,0.5,38,0,0.15,102
31,0.21,2.1,443,9,0.09,107
32,3.54,0.4,96,0,0.16,116
31,0.12,1.5,459,4,0.01,109
30,0.58,2.5,709,41,0.08,110
35,0.61,2.9,960,7,0.25,128
31,0.39,1.7,446,3,0.25,95
33,1.52,1.0,216,0,5.03,119
33,3.7,0.4,26,0,0.52,125
35,3.13,0.3,106,0,0.27,129
30,0.44,2.1,512,11,0.14,102
33,2.45,3.1,882,2,3.85,117
32,4.2,0.3,18,0,0.74,115
32,2.78,3.1,939,4,0.06,120
29,1.03,0.4,66,0,4.91,101
31,1.39,0.8,222,0,0.3,97
35,2.08,1.8,529,4,7.26,133
32,0.19,1.6,390,18,0.04,113
34,3.48,0.5,125,0,0.26,119
29,4.59,0.1,15,0,0.28,104
35,0.62,3.6,917,6,0.06,127
33,2.36,0.3,25,0,0.16,114
35,1.93,0.2,31,0,0.12,128
35,2.41,0.1,38,0,0.07,119
