Team,SH,RBI,SB,SF
LC,0,2,0,0
BEL,2,11,1,1
FW,1,8,0,0
WIS,3,50,3,3
LAN,1,41,6,6
WIS,4,5,0,0
FW,0,2,2,0
FW,0,43,6,1
CLI,0,42,21,3
DAY,0,7,8,0
WM,0,8,2,1
KC,4,30,13,3
BEL,5,35,4,5
BUR,0,59,3,5
LAN,0,11,0,1
CR,1,0,1,0
WM,0,1,0,1
KC,5,16,4,2
LAN,0,24,0,1
PEO,2,16,9,3
CLI,1,2,2,1
BG,1,21,6,0
PEO,4,37,8,0
DAY,4,50,103,3
SB,2,15,7,2
SB,0,7,3,1
CLI,1,7,5,2
QC,0,25,9,4
GL,8,41,28,2
CR,1,12,1,1
CLI,0,13,5,0
CR,3,37,15,5
WIS,0,4,0,0
WIS,0,2,0,0
BG,2,11,0,1
LAN,1,24,2,4
CR,0,34,2,2
WM,0,39,1,1
SB,0,95,1,4
CR,2,1,1,0
CLI,1,20,6,1
CR,0,0,0,0
SB,1,50,2,3
GL,0,37,2,2
PEO,0,11,1,0
LC,2,9,0,1
PEO,1,52,3,5
QC,2,10,4,1
BUR,1,49,16,2
QC,0,0,0,0
BUR,2,29,6,4
PEO,0,1,2,0
BUR,5,3,0,0
PEO,0,98,0,5
DAY,7,41,12,1
WM,11,42,23,8
LC,3,24,0,0
KC,1,30,5,0
LC,13,26,11,5
KC,0,31,2,0
QC,0,5,0,0
FW,0,0,0,0
CLI,0,7,0,0
BUR,2,55,10,3
CR,1,0,0,0
CLI,1,12,4,2
KC,0,60,4,2
WM,2,14,0,1
WM,0,5,0,0
KC,0,14,0,0
BEL,0,0,0,0
QC,1,7,3,1
DAY,0,1,0,0
QC,0,54,5,6
CLI,1,56,25,4
WIS,0,9,5,1
CLI,2,40,7,4
FW,3,27,1,1
CLI,0,16,11,0
WM,0,0,0,0
KC,1,11,7,2
SB,0,60,16,2
KC,3,5,9,0
WIS,0,9,1,0
CR,1,6,0,0
FW,0,1,0,1
LC,0,44,7,4
KC,2,11,0,0
BG,0,86,0,8
QC,0,70,4,3
DAY,0,75,5,0
CLI,1,65,16,5
QC,3,22,3,2
DAY,0,58,2,5
SB,0,0,1,0
FW,0,2,0,0
LC,2,46,3,4
LC,1,5,6,1
LC,0,69,1,3
FW,3,24,15,0
CR,1,55,10,3
CLI,1,2,2,0
FW,2,62,65,9
PEO,0,27,17,1
BUR,7,27,27,2
LC,4,42,10,4
WM,3,44,2,1
GL,2,63,2,5
LC,0,11,0,1
WIS,4,46,28,4
LC,2,12,3,3
SB,4,13,5,0
WIS,2,20,8,2
CR,0,37,4,1
LAN,0,33,24,1
CR,0,11,3,2
SB,12,25,26,3
BEL,2,10,10,1
BEL,0,0,0,0
LAN,0,77,37,4
GL,3,19,3,2
CLI,0,0,0,0
BEL,2,3,3,2
LC,1,20,15,1
DAY,0,1,0,0
QC,2,10,1,0
WIS,1,10,0,1
BG,0,3,1,0
CLI,13,25,9,3
LAN,0,86,4,10
PEO,0,6,0,1
QC,5,34,18,6
LC,4,35,0,3
LAN,0,4,0,0
LC,6,24,8,3
KC,1,16,2,0
GL,0,0,0,0
BUR,1,17,1,1
WIS,0,6,3,0
KC,0,31,5,1
LC,0,0,0,0
BG,0,6,0,0
WIS,0,35,4,2
QC,0,33,1,2
QC,0,28,4,2
FW,1,21,0,0
WM,0,21,0,2
FW,0,1,0,0
BEL,2,17,0,1
WIS,0,14,0,0
SB,1,30,7,3
KC,1,0,0,0
SB,1,22,8,3
FW,0,10,0,0
CLI,2,29,5,2
PEO,3,9,4,0
BG,3,49,3,4
DAY,2,85,3,6
LC,0,17,2,3
BG,0,44,8,3
BEL,2,23,2,6
CR,4,24,2,1
GL,0,8,2,1
DAY,1,29,30,3
GL,8,25,31,0
PEO,11,24,4,2
GL,1,1,2,0
GL,1,23,2,1
CR,0,4,0,1
BEL,10,40,12,0
CLI,0,5,3,1
QC,1,0,0,0
BG,1,11,1,0
BEL,3,34,9,1
WM,0,17,0,2
KC,2,6,0,0
BUR,0,68,10,1
CR,2,64,2,6
QC,0,42,10,4
CR,2,42,44,3
LAN,1,18,6,0
CLI,6,28,10,2
PEO,0,1,0,0
CLI,0,7,1,1
QC,3,16,5,2
PEO,2,13,0,0
LAN,0,19,2,2
QC,0,7,0,0
PEO,1,7,0,1
CLI,0,26,2,3
WM,14,38,5,6
CR,1,35,12,4
QC,1,26,9,3
FW,1,6,2,1
KC,7,24,15,4
GL,0,10,1,1
