ORB%,DRtg,TS%,USG%
14.8,108,.488,23.2
18.3,118,.129,14.9
37.5,115,.546,23.8
36.4,110,.237,27.8
8.1,88,1.136,3.2
17.7,80,.600,21.8
0.0,97,.667,10.4
0.0,117,.387,23.5
0.0,112, ,4.3
0.0,111,.667,12.1
16.4,97,.667,10.1
0.0,121,.000,25.7
20.6,99,.822,12.9
9.6,118,.500,8.2
15.3,95,.524,19.2
0.0,90,.434,19.4
30.0,93,.765,23.2
25.0,106,1.000,18.3
24.0,96,.518,20.3
27.4,120,.266,15.8
14.4,88,.457,25.0
0.0,114,1.000,7.0
0.0,96,.387,11.9
30.8,113,.000,17.0
9.4,99,.773,30.3
18.3,102,.543,10.6
0.0,99,1.000,7.1
0.0,123,.291,17.7
