AVG,POS,SB,RBI,R,BB,HR,AB
.193,CF,6,14,19,18,1,140
.216,CF,11,22,28,20,1,162
.266,1B,1,28,22,9,3,199
.205,RF,11,3,8,7,0,112
.364,CF,2,7,6,4,1,33
.345,C,0,3,5,2,0,29
.250,OF,2,2,5,5,0,16
.286,LF,0,1,2,2,0,7
.135,DH,4,0,4,2,0,37
.063,SS,0,0,3,4,0,16
.333,3B,1,3,1,2,0,18
.251,1B,1,29,24,12,9,195
.204,RF,4,18,18,18,4,137
.222,SS,0,0,0,0,0,9
.182,C,1,1,1,1,0,11
.323,3B,1,15,10,9,1,127
.300,C,0,3,3,5,0,40
.177,LF,0,17,15,8,0,164
.385,SS,1,1,2,1,0,13
.233,CF,9,8,18,12,0,150
.232,C,0,14,8,7,2,69
.171,3B,2,6,19,11,0,111
.250,3B,2,4,5,3,0,48
.278,SS,4,22,18,10,1,198
.306,LF,11,12,21,10,0,160
.317,2B,5,23,17,17,2,123
.322,2B,9,19,24,7,1,152
.081,DH,1,6,5,5,0,86
.167,C,1,2,0,1,0,12
.200,CF,11,14,24,16,2,165
.000,3B,0,0,0,0,0,3
.176,C,0,2,4,3,0,34
.295,2B,8,27,35,10,1,207
.167,DH,0,0,1,1,0,6
.313,C,1,2,3,4,1,16
.214,LF,6,11,10,8,1,84
.232,2B,5,7,15,17,0,125
.357,DH,0,2,1,3,0,14
.171,C,0,7,8,9,3,70
.250,DH,0,0,1,2,0,24
.246,CF,10,11,17,9,1,138
.252,2B,16,21,25,27,0,151
.218,DH,1,20,15,12,1,142
.067,2B,0,2,1,1,0,15
.291,C,2,16,15,16,1,127
.259,SS,8,22,22,3,4,174
.287,LF,15,9,15,14,0,101
.254,RF,8,20,22,18,1,138
.200,CF,3,0,6,3,0,25
.273,2B,3,8,15,9,2,132
.286,RF,2,5,8,7,0,63
.182,DH,0,2,5,5,1,55
.234,C,0,13,15,5,1,107
.275,RF,8,24,20,15,5,167
.192,2B,2,4,4,7,0,26
.267,RF,2,7,8,7,0,45
.288,C,0,8,5,2,2,52
.260,RF,1,12,16,6,2,77
.307,LF,2,11,13,8,1,75
.034,3B,0,2,6,8,0,29
.191,CF,4,8,9,17,0,110
.276,SS,1,0,6,1,0,29
.327,1B,3,35,36,31,6,168
.221,SS,5,7,10,6,0,86
.204,1B,1,16,13,9,1,142
.400,C,0,5,3,0,1,15
.162,CF,2,6,3,3,0,37
.228,C,1,17,22,20,0,136
.220,3B,7,3,13,7,1,91
.247,C,0,13,10,11,2,97
.217,3B,4,8,14,17,1,120
.556,2B,2,0,1,1,0,9
.455,3B,0,6,2,1,1,11
.333,OF,0,1,0,0,0,3
.224,CF,4,5,16,13,0,98
.208,DH,0,6,5,6,0,48
.167,DH,0,4,3,2,0,36
.226,C,0,11,11,9,1,53
.231,SS,1,1,4,2,0,26
.269,1B,4,33,32,16,3,186
.210,C,0,20,15,16,2,124
.156,C,0,2,3,2,0,32
.160,3B,0,4,2,4,1,25
.313,2B,0,2,2,2,0,16
.253,3B,7,10,12,4,0,83
.198,C,0,12,11,4,1,121
.000,C,1,0,0,4,0,14
.024,SS,0,0,0,2,0,41
.286,RF,1,7,7,4,1,28
.316,C,0,6,4,0,3,19
.000,OF,0,0,0,0,0,3
.317,RF,6,19,21,14,4,126
.182,C,1,7,8,2,0,55
.326,1B,0,6,5,3,0,43
.308,2B,2,2,3,4,0,26
.265,RF,7,29,28,24,6,166
.250,P,0,2,1,0,0,4
.297,RF,5,10,23,21,0,111
.178,1B,0,15,8,17,3,101
.336,2B,8,12,9,7,0,107
.214,1B,0,3,3,3,1,28
.167,1B,0,6,4,7,0,66
.196,LF,7,14,14,22,0,158
.167,3B,0,1,2,1,1,30
.133,DH,0,0,0,3,0,15
.288,LF,13,19,23,28,0,163
.333,DH,0,3,1,0,0,9
.214,3B,3,9,11,9,1,70
.165,LF,1,5,3,6,0,85
.167,1B,0,0,2,1,0,6
.279,2B,2,14,13,13,2,111
.000,LF,0,0,0,0,0,4
.250,RF,0,3,1,3,0,8
.269,3B,0,19,24,16,1,130
.235,C,2,3,12,4,0,51
.245,2B,3,8,8,9,0,102
.197,LF,1,10,12,11,1,142
.125,C,0,2,0,3,0,24
.333,C,0,1,4,0,0,12
.222,SS,2,9,9,3,1,81
.500,OF,0,0,4,1,0,10
.176,3B,0,0,1,1,0,17
.143,1B,0,4,6,9,0,63
.262,1B,0,14,21,19,1,103
.226,RF,5,16,25,20,2,155
.091,LF,1,1,5,8,1,44
.154,C,0,4,0,3,0,39
.102,DH,1,3,4,3,0,49
.188,C,0,9,3,6,0,69
.175,RF,1,0,7,9,0,40
.171,C,2,3,4,2,1,35
.265,2B,1,5,7,11,0,68
.333,OF,0,1,0,0,0,6
.210,RF,6,12,18,14,4,157
.216,RF,1,8,15,10,1,88
.267,DH,0,8,6,2,1,60
.242,LF,5,13,11,8,1,91
.154,RF,0,3,6,6,0,52
.200,SS,0,0,0,1,0,5
.282,LF,6,5,11,3,0,110
.230,SS,7,26,28,11,2,183
.250,2B,2,5,8,6,0,88
.261,RF,4,10,20,8,2,142
.111,OF,0,2,0,0,0,9
.174,2B,1,0,0,1,0,23
.214,SS,5,16,21,15,2,168
.273,LF,0,4,5,1,1,22
.316,C,0,4,7,5,2,38
