Symbol,Company,Insider,Position,Date,Buy/Sell,Shares,Trade Price ($),Cost ($1000),Price Change Since Trade (%),Yield (%),P/E,Market Cap ($M),Details
EHTH,eHealth Inc,Lauer Gary L,Chr. of the Board and CEO (Click for the stocks that their CEOs have bought),2015-06-03,Sell,"99,999",$12.59,1259.0,1.83,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Flanders Scott N,Director,2015-04-29,Sell,"6,076",$12.88,78.3,-0.47,0.0,0.0,229.59,Link
EHTH,eHealth Inc,DEERFIELD MANAGEMENT CO, ,2015-03-06,Sell,"1,342,573",$9.52,12781.3,34.66,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Flynn James E, ,2015-03-06,Buy,"30,103",$9.52,286.6,34.66,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Flynn James E, ,2015-01-14,Buy,"1,000,000",$20.3,20300.0,-36.85,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Shaughnessy William T,President and COO,2014-08-07,Buy,"2,354",$21.21,49.9,-39.56,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Flynn James E, ,2014-08-07,Buy,"3,131",$21.05,65.9,-39.1,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Shaughnessy William T,President and COO,2014-08-07,Buy,"2,354",$21.21,49.9,-39.56,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Flynn James E, ,2014-08-05,Buy,"329,540",$19.88,6551.3,-35.51,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Oliver Jack L III,Director,2014-06-13,Sell,"3,038",$35.1,106.6,-63.48,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Hurley Robert S,"Sr. VP, Sales and Operations",2014-05-08,Sell,"18,323",$35.07,642.6,-63.44,0.0,0.0,229.59,Link
EHTH,eHealth Inc,LIVINGSTON RANDALL S,Director,2014-02-12,Sell,"1,000",$44.51,44.5,-71.2,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Oliver Jack L III,Director,2013-12-02,Sell,"5,000",$44.95,224.8,-71.48,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Oliver Jack L III,Director,2013-11-25,Sell,"5,000",$44.23,221.2,-71.02,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Oliver Jack L III,Director,2013-11-18,Sell,"5,000",$44.51,222.6,-71.2,0.0,0.0,229.59,Link
EHTH,eHealth Inc,LIVINGSTON RANDALL S,Director,2013-11-13,Sell,"1,000",$42.61,42.6,-69.91,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Oliver Jack L III,Director,2013-11-11,Sell,"5,000",$42.7,213.5,-69.98,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Oliver Jack L III,Director,2013-11-04,Sell,"5,000",$39.87,199.4,-67.85,0.0,0.0,229.59,Link
EHTH,eHealth Inc,"HealthCor Management, L.P.", ,2013-10-28,Sell,"525,000",$43,22575.0,-70.19,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Huizinga Stuart,Sr. VP & CFO,2013-08-21,Sell,"2,519",$28.38,71.5,-54.83,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Huizinga Stuart,Sr. VP & CFO,2013-08-15,Sell,"1,111",$27.78,30.9,-53.85,0.0,0.0,229.59,Link
EHTH,eHealth Inc,LIVINGSTON RANDALL S,Director,2013-08-14,Sell,"1,000",$28.34,28.3,-54.76,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Huizinga Stuart,Sr. VP & CFO,2013-08-01,Sell,"5,000",$31.68,158.4,-59.53,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Huizinga Stuart,Sr. VP & CFO,2013-07-03,Sell,"5,000",$22.58,112.9,-43.22,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Huizinga Stuart,Sr. VP & CFO,2013-06-19,Sell,"5,000",$23.79,119.0,-46.11,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Huizinga Stuart,Sr. VP & CFO,2013-06-03,Sell,"5,000",$24.75,123.8,-48.2,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Huizinga Stuart,Sr. VP & CFO,2013-05-28,Sell,"5,000",$24.59,123.0,-47.86,0.0,0.0,229.59,Link
EHTH,eHealth Inc,LIVINGSTON RANDALL S,Director,2013-05-15,Sell,"1,000",$24.39,24.4,-47.44,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Huizinga Stuart,Sr. VP & CFO,2013-05-13,Sell,"5,000",$22.38,111.9,-42.72,0.0,0.0,229.59,Link
EHTH,eHealth Inc,Huizinga Stuart,Sr. VP & CFO,2013-05-03,Sell,"5,000",$22.43,112.2,-42.84,0.0,0.0,229.59,Link
