Pos,Count,Tot WARP,Avg WARP,hidden1,Tot Salary,Avg Salary,$/WARP,hidden2,Pct Sal,hidden3,Pct WARP,hidden4,Efficiency,hidden5
C,1,4.89,4.89,7071429,"$7,071,429","$7,071,429","$1,447,479",1447479.3342048223,11.29%,11.291745907154,10.39%,10.390712791084,-0.90%,-0.90103311607057
1B,1,6.07,6.07,8833333,"$8,833,333","$8,833,333","$1,454,058",1454058.4996952142,14.11%,14.10517616019,12.92%,12.920914445111,-1.18%,-1.1842617150798
2B,1,3.84,3.84,6060000,"$6,060,000","$6,060,000","$1,579,548",1579548.2454682144,9.68%,9.676683481847,8.16%,8.1600018296042,-1.52%,-1.5166816522428
3B,0,0.0,-,-,$0,$-,$0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0
SS,0,0.0,-,-,$0,$-,$0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0
LF,1,3.42,3.42,1800000,"$1,800,000","$1,800,000","$525,778",525777.7034932309,2.87%,2.8742624203506,7.28%,7.2815002267736,4.41%,4.407237806423
CF,0,0.0,-,-,$0,$-,$0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0
RF,1,4.42,4.42,260000,"$260,000","$260,000","$58,758",58757.724444931046,0.42%,0.41517123849509,9.41%,9.4115013139885,9.00%,8.9963300754934
DH,0,0.0,-,-,$0,$-,$0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0
PH,0,0.0,-,-,$0,$-,$0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0
SP,4,24.37,6.09,9650000,"$38,600,000","$9,650,000","$1,583,841",1583841.1940200038,61.64%,61.636960791963,51.84%,51.83536939344,-9.80%,-9.8015913985232
RP,0,0.0,-,-,$0,$-,$0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0
