MP,GmSc,AST%,Date,TOV%,BLK%
9:00,1.6,12.8,1988-03-29,0.0,0.0
1:00,0.0,0.0,1988-04-03, ,0.0
7:00,-0.2,32.7,1988-01-26,0.0,0.0
10:00,-2.5,0.0,1987-11-25,75.0,4.8
2:00,0.0,0.0,1988-02-21, ,0.0
5:00,0.9,20.4,1988-01-05,0.0,0.0
12:00,4.1,0.0,1988-04-06,0.0,4.3
9:00,1.0,12.7,1987-11-14,100.0,5.7
3:00,0.0,34.0,1988-01-04,0.0,18.8
11:00,6.0,12.4,1988-01-15,0.0,13.4
19:00,6.0,6.5,1987-12-05,0.0,10.7
25:00,12.0,16.2,1987-12-23,17.5,4.4
4:00,0.3,24.5,1988-04-05, ,0.0
17:00,7.7,6.1,1987-11-07,26.8,3.0
13:00,0.4,0.0,1988-04-21,29.1,4.1
31:00,7.8,8.6,1988-03-12,9.1,8.9
13:00,4.7,0.0,1987-11-15,22.8,0.0
7:00,3.7,0.0,1988-02-02,33.3,9.0
21:00,8.8,13.5,1988-01-23,0.0,8.2
4:00,-0.4,0.0,1987-12-15,0.0,0.0
4:00,-1.1,0.0,1988-04-22,100.0,0.0
13:00,3.1,0.0,1988-02-22,0.0,0.0
8:00,-0.2,13.3,1988-03-11, ,0.0
12:00,3.5,11.4,1988-01-27,17.4,4.8
5:00,3.3,25.7,1988-04-24,0.0,0.0
32:00,9.5,0.0,1988-03-16,7.7,3.5
4:00,0.0,0.0,1988-02-19, ,0.0
13:00,1.5,0.0,1987-11-27,16.7,7.6
13:00,-1.5,16.8,1988-03-26,33.3,0.0
24:00,6.4,4.4,1988-02-15,13.9,2.4
3:00,-1.4,0.0,1987-12-22,0.0,0.0
18:00,1.7,6.7,1987-12-20,13.4,0.0
3:00,1.2,0.0,1988-02-28,0.0,0.0
15:00,0.5,0.0,1988-01-02,28.6,3.7
15:00,6.5,0.0,1988-02-09,10.1,0.0
28:00,10.5,8.0,1988-04-16,9.3,4.5
12:00,1.1,0.0,1988-02-18,0.0,0.0
6:00,-0.7,0.0,1988-03-01,33.3,0.0
20:00,5.5,0.0,1988-04-19,0.0,0.0
9:00,3.0,0.0,1987-12-12,0.0,0.0
19:00,3.3,0.0,1988-03-08,0.0,2.4
10:00,2.8,10.8,1987-11-10,25.0,5.5
1:00,0.0,0.0,1988-02-24, ,0.0
13:00,-1.1,0.0,1988-01-09,50.0,0.0
