Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 31,at James Madison,"L, 38-14",1,0,1,-,-,0,-,-,-,-,-,-,-,-
Sep 7,at Lehigh,"L, 51-44",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 14,Holy Cross,"L, 52-21",0,2,2,-,-,0,-,-,-,-,-,-,-,-
Sep 21,at Albany (N.Y.),"W, 20-17",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 28,at Rhode Island,"L, 42-7",1,3,4,-,-,0,-,-,-,-,-,-,-,-
Oct 5,St. Francis University,"W, 38-29",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 12,at Sacred Heart,"L, 59-36",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 26,Salve Regina,"W, 47-13",0,4,4,0.5,0,0.5,-,-,-,-,-,-,-,-
Nov 2,at Wagner,"W, 52-17",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 9,Robert Morris,"L, 54-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 16,at Duquesne,"L, 24-21",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 23,Bryant,"L, 29-16",-,-,0,-,-,0,-,-,-,-,-,-,-,-
