d/s,bs,ba,ta,b/s,k/s,e,a
0.83,3,37,547,0.37,1.55,70,8
2.41,6,15,424,0.21,1.17,64,17
0.41,7,26,823,0.31,2.77,98,34
0.28,6,46,641,0.39,1.59,101,8
1.24,9,11,886,0.18,2.18,123,5
0.21,15,52,300,0.87,1.22,63,4
0.39,3,26,446,0.31,1.48,75,24
1.72,3,40,973,0.35,2.62,197,10
0.75,7,61,427,0.64,1.62,51,14
0.58,41,26,709,0.61,2.01,85,9
1.78,1,21,487,0.19,1.21,60,659
0.44,11,16,512,0.26,1.7,116,14
0.66,9,46,394,0.53,1.4,46,9
0.8,11,29,597,0.46,2.14,114,6
2.41,3,23,1181,0.23,3.2,191,16
0.35,32,44,370,0.72,0.9,73,10
0.2,9,68,671,0.63,2.16,108,4
2.36,31,57,948,0.84,3.89,115,13
0.61,7,37,960,0.34,2.73,141,32
