Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AJ Finch (Aus),2013-2013,1,1,0,156,156,156.00,63,247.61,1,0,0,11,14
ME Trescothick (Eng),2005-2006,2,2,0,113,72,56.50,95,118.94,0,1,0,14,1
JE Root (Eng),2013-2013,1,1,1,90,90*,-,49,183.67,0,1,0,13,1
PD Collingwood (Eng),2005-2006,2,2,0,51,46,25.50,33,154.54,0,0,0,5,2
KP Pietersen (Eng),2005-2006,2,2,0,51,34,25.50,34,150.00,0,0,0,4,1
AJ Strauss (Eng),2005-2006,2,2,0,51,33,25.50,37,137.83,0,0,0,7,0
RS Bopara (Eng),2013-2013,1,1,0,45,45,45.00,29,155.17,0,0,0,4,1
ST Jayasuriya (SL),2006-2006,1,1,0,41,41,41.00,30,136.66,0,0,0,4,2
SR Watson (Aus),2013-2013,1,1,0,37,37,37.00,16,231.25,0,0,0,4,2
WU Tharanga (SL),2006-2006,1,1,0,34,34,34.00,25,136.00,0,0,0,4,1
GO Jones (Eng),2005-2006,2,2,1,33,19,33.00,25,132.00,0,0,0,5,0
SE Marsh (Aus),2013-2013,1,1,0,28,28,28.00,21,133.33,0,0,0,2,1
JC Buttler (Eng),2013-2013,1,1,0,27,27,27.00,17,158.82,0,0,0,1,2
JN Gillespie (Aus),2005-2005,1,1,0,24,24,24.00,18,133.33,0,0,0,4,0
CK Kapugedera (SL),2006-2006,1,1,0,22,22,22.00,16,137.50,0,0,0,0,1
MJ Lumb (Eng),2013-2013,1,1,0,22,22,22.00,11,200.00,0,0,0,3,1
KC Sangakkara (SL),2006-2006,1,1,0,21,21,21.00,14,150.00,0,0,0,3,0
AC Gilchrist (Aus),2005-2005,1,1,0,15,15,15.00,14,107.14,0,0,0,3,0
B Lee (Aus),2005-2005,1,1,0,15,15,15.00,20,75.00,0,0,0,1,0
MS Wade (Aus),2013-2013,1,1,1,15,15*,-,7,214.28,0,0,0,2,1
SL Malinga (SL),2006-2006,1,1,0,13,13,13.00,12,108.33,0,0,0,1,0
VS Solanki (Eng),2005-2005,1,1,0,9,9,9.00,5,180.00,0,0,0,1,0
AD Hales (Eng),2013-2013,1,1,0,8,8,8.00,9,88.88,0,0,0,1,0
MF Maharoof (SL),2006-2006,1,1,0,8,8,8.00,8,100.00,0,0,0,0,0
RP Arnold (SL),2006-2006,1,1,0,7,7,7.00,7,100.00,0,0,0,0,0
TT Bresnan (Eng),2006-2006,1,1,1,6,6*,-,6,100.00,0,0,0,0,0
A Flintoff (Eng),2005-2005,1,1,0,6,6,6.00,5,120.00,0,0,0,0,0
ML Hayden (Aus),2005-2005,1,1,0,6,6,6.00,4,150.00,0,0,0,1,0
JP Faulkner (Aus),2013-2013,1,1,1,5,5*,-,3,166.66,0,0,0,0,0
GD McGrath (Aus),2005-2005,1,1,0,5,5,5.00,12,41.66,0,0,0,0,0
SCJ Broad (Eng),2013-2013,1,1,1,4,4*,-,2,200.00,0,0,0,1,0
DR Martyn (Aus),2005-2005,1,1,0,4,4,4.00,4,100.00,0,0,0,1,0
LJ Wright (Eng),2013-2013,1,1,0,4,4,4.00,2,200.00,0,0,0,1,0
CRD Fernando (SL),2006-2006,1,1,0,3,3,3.00,4,75.00,0,0,0,0,0
MS Kasprowicz (Aus),2005-2005,1,1,1,3,3*,-,5,60.00,0,0,0,0,0
TM Dilshan (SL),2006-2006,1,1,0,2,2,2.00,5,40.00,0,0,0,0,0
GJ Bailey (Aus),2013-2013,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
JWM Dalrymple (Eng),2006-2006,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
MEK Hussey (Aus),2005-2005,1,1,0,1,1,1.00,6,16.66,0,0,0,0,0
GJ Maxwell (Aus),2013-2013,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0
DA Warner (Aus),2013-2013,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
MJ Clarke (Aus),2005-2005,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
DPMD Jayawardene (SL),2006-2006,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
J Lewis (Eng),2005-2005,1,1,1,0,0*,-,0,-,0,0,0,0,0
EJG Morgan (Eng),2013-2013,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0
PDRL Perera (SL),2006-2006,1,1,1,0,0*,-,0,-,0,0,0,0,0
RT Ponting (Aus),2005-2005,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0
A Symonds (Aus),2005-2005,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
MP Vaughan (Eng),2005-2005,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
