Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
2007-09-05,CHN,LAN,W 8-2 vs LAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1st career game
2009-07-01,CHN,PIT,W 4-1 @PIT,4,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,16,1st career hit
2009-08-22,CHN,LAN,L 0-2 @LAN,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,45,1st career stolen base
2009-10-04,CHN,ARI,L 2-5 vs ARI,3,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,79,"1st career home run, 1st career RBI"
2011-04-07,TBA,CHA,L 1-5 @CHA,3,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,102,3 stolen bases
2011-04-11,TBA,BOS,W 16-5 @BOS,6,3,4,2,1,1,3,0,0,0,0,0,0,0,0,0,106,4 hits
2011-04-18,TBA,CHA,W 5-0 vs CHA,4,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,112,4 hits
2011-04-24,TBA,TOR,W 2-0 @TOR,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,118,4 strikeouts
2015-04-24,OAK,HOU,L 4-5 vs HOU,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,500,500th career game
2015-04-25,OAK,HOU,L 3-9 vs HOU,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,500,500th career game
