AST%,TOV%,MP,ORtg,G,Age,BLK%,USG%,STL%
22.9,0.0,12:00,34,42,32-110,0.0,19.4,0.0
0.0,40.0,13:00,48,1,31-338,0.0,17.6,0.0
0.0,100.0,6:00,0,44,32-116,0.0,8.4,0.0
0.0, ,1:00, ,43,32-112,0.0,0.0,0.0
0.0,100.0,8:00,0,2,31-339,0.0,5.3,6.3
8.1,0.0,16:00,105,47,32-133,0.0,13.7,0.0
0.0,50.0,4:00,0,17,32-031,0.0,22.5,0.0
15.4,41.0,15:00,65,4,31-345,0.0,30.9,7.7
0.0, ,5:00, ,50,32-141,0.0,0.0,0.0
0.0,0.0,9:00,165,45,32-118,0.0,10.0,6.2
0.0,0.0,1:00,0,36,32-092,0.0,48.7,0.0
0.0,0.0,3:00,0,30,32-077,0.0,33.0,0.0
0.0,53.2,6:00,0,6,31-350,0.0,13.9,0.0
19.5,22.3,19:00,80,20,32-039,3.3,32.9,2.8
19.7,14.5,10:00,84,21,32-041,0.0,29.0,0.0
16.7,100.0,18:00,24,7,31-354,0.0,7.5,0.0
0.0,14.8,13:00,80,34,32-088,0.0,23.3,0.0
0.0,0.0,19:00,39,3,31-342,0.0,15.4,0.0
0.0,17.0,13:00,0,27,32-055,5.7,20.0,0.0
25.0,16.7,8:00,90,22,32-043,0.0,35.2,0.0
0.0,20.0,8:00,57,48,32-134,0.0,30.3,0.0
0.0,0.0,8:00,84,31,32-078,9.4,17.7,0.0
14.0,0.0,9:00,20,28,32-060,0.0,14.7,5.8
0.0,0.0,1:00,200,8,31-362,0.0,44.1,0.0
0.0, ,2:00, ,39,32-101,0.0,0.0,0.0
0.0,0.0,3:00,250,29,32-064,0.0,14.2,0.0
20.0,50.0,12:00,66,5,31-347,13.6,7.1,4.4
