Rbaser,Name,waaWL%,162WL%,G,Rk
-0,Dan Gladden,.522,.512,86,292
-0,Alan Ashby#,.496,.498,66,21
-0,Scott Bradley*,.493,.500,9,85
0,Ron Musselman,.501,.500,11,571
-1,Bruce Benedict,.487,.492,95,56
-0,Frank DiPino*,.498,.499,57,216
-0,Toby Hernandez,.508,.500,3,356
-1,Terry Puhl*,.509,.507,132,651
0,Dave Rucker*,.500,.500,50,716
0,Andy Hassler*,.501,.500,3,339
3,Kirk Gibson*,.521,.519,149,291
0,Jack Fimple,.481,.499,12,247
-0,Ken Dayley*,.513,.500,8,201
0,Tony Armas,.503,.503,157,19
-0,Mike Krukow,.501,.500,36,440
2,Tom Paciorek,.480,.486,111,612
0,Broderick Perkins*,.486,.495,58,633
-2,Gerald Perry*,.484,.488,122,634
4,Bob Dernier,.507,.506,143,211
0,Rick Langford,.501,.500,3,456
0,Mike Caldwell,.501,.500,26,125
1,Doug Baker#,.476,.494,43,31
0,Larry Herndon,.495,.496,125,358
-0,Alan Knicely,.428,.496,10,433
-0,Tug McGraw,.505,.501,25,524
0,Tim Conroy*,.501,.500,38,170
0,Roger Clemens,.501,.500,21,160
0,Jim Eisenreich*,.461,.497,12,233
-0,Keefe Cato,.512,.501,8,142
-1,Dave Concepcion,.479,.480,154,168
-1,Tom Brookens,.510,.507,113,95
0,Ed Lynch,.503,.501,40,494
0,Vic Rodriguez,.504,.500,11,702
 ,Nelson Simmons#, , , ,765
0,Mike Armstrong,.501,.500,36,20
1,Shane Rawley,.494,.499,30,669
0,Mark Langston,.501,.500,35,457
0,Don Carman*,.499,.500,11,135
-1,Eddie Milner*,.509,.506,117,542
0,Eric Show,.529,.506,32,764
-0,Rob Deer,.512,.501,13,205
0,Paul Molitor,.477,.498,13,547
0,Rick Honeycutt*,.498,.500,29,368
1,Steve Sax,.494,.494,145,738
3,Von Hayes*,.512,.512,152,343
-0,Stan Javier#,.479,.499,7,397
-0,Jeff Moronko,.461,.498,7,558
2,Dave Anderson,.505,.504,121,15
-0,Dale Murphy,.519,.519,162,567
0,Jaime Cocanower,.501,.500,33,162
-1,Bobby Grich,.503,.502,116,305
0,Doug Corbett,.501,.500,45,172
-1,Kevin McReynolds,.523,.521,147,529
0,Ron Reed,.500,.500,51,676
-0,Steve Bedrosian,.498,.499,40,50
0,Al Nipper,.501,.500,29,585
-1,Gene Richards*,.491,.495,87,687
-0,Craig Lefferts*,.503,.501,62,474
-0,Rick Camp,.491,.498,31,129
0,Tom Henke,.501,.500,25,353
-1,Angel Salazar,.479,.490,80,727
-0,Atlee Hammaker#,.513,.500,6,329
0,Jerry Augustine*,.501,.500,4,24
-1,Rod Carew*,.496,.498,93,133
0,Mike Flanagan*,.501,.500,34,253
1,John Lowenstein*,.494,.496,105,489
0,Brad Lesley,.504,.500,16,481
-0,Eddie Miller#,.502,.500,13,539
1,Jose Oquendo#,.488,.494,81,601
0,Jerry Don Gleaton*,.501,.500,11,293
-0,Denny Gonzalez,.473,.496,26,296
0,Ernie Camacho,.501,.500,69,128
1,George Bell,.506,.506,159,54
-0,Mike Boddicker,.500,.500,35,74
-1,Ron Jackson,.474,.495,45,392
0,Toby Harrah,.494,.497,88,334
1,Steve Kemp*,.495,.497,94,423
0,Rene Gonzales,.500,.500,29,295
-0,Len Barker,.492,.499,21,39
1,Billy Sample,.480,.484,130,730
0,Greg Bargar,.496,.500,3,38
-0,Greg Minton#,.498,.499,74,543
-0,Chili Davis#,.523,.520,137,190
1,Bill Doran#,.512,.511,147,219
0,Dave Righetti*,.501,.500,64,689
0,Alfonso Pulido*,.501,.500,1,654
-0,Ron Shepherd,.484,.499,12,760
0,Jamie Quirk*,.511,.500,4,656
-0,Joe Nolan*,.504,.501,35,588
0,Ken Howell,.498,.500,32,377
0,Jim Palmer,.501,.500,5,616
0,Oil Can Boyd,.501,.500,29,83
0,Jim Rice,.502,.501,159,686
0,John Butcher,.501,.500,34,119
-0,Mike Ramsey#,.495,.499,58,666
-2,Omar Moreno*,.488,.492,117,556
0,Phil Niekro,.501,.500,32,582
1,Keith Hernandez*,.526,.525,154,355
0,John Moses#,.514,.502,19,562
-0,Pete Falcone*,.503,.501,35,241
-2,Buck Martinez,.499,.499,102,508
0,Vern Ruhle,.501,.500,40,717
1,Thad Bosley*,.498,.499,55,80
-0,Mike Hart*,.477,.498,13,336
-0,Jerry Koosman,.486,.497,36,436
0,Tony Brewer,.475,.496,24,92
0,Glenn Hubbard,.510,.507,120,381
0,Joe Orsulak*,.497,.499,32,603
0,Jack O'Connor*,.501,.500,2,593
0,Dave Hostetler,.490,.498,37,372
0,Don Robinson,.511,.503,53,698
-2,Tony Fernandez#,.504,.502,88,245
-0,Bill Laskey,.489,.498,35,460
0,Jack Clark,.528,.510,57,158
-0,Charles Hudson#,.487,.498,30,383
-0,Dan Rohn*,.482,.497,25,706
-0,Mike Scott,.499,.500,31,752
-0,Chris Bando#,.519,.509,75,34
-1,Chuck Rainey,.493,.499,33,660
0,Darrell Brown#,.496,.498,95,101
-0,Biff Pocoroba#,.501,.500,4,643
-1,Barry Bonnell,.489,.492,110,76
-1,Rick Miller*,.492,.495,95,541
0,Bill Caudill,.501,.500,68,143
-1,Steve Nicosia,.498,.499,48,579
1,Henry Cotto,.507,.504,105,175
0,Jack Lazorko,.501,.500,15,467
-0,Dusty Baker,.503,.502,100,32
0,Al Bumbry*,.493,.495,119,112
-0,Dan Meyer*,.502,.500,20,536
0,Jim Morrison,.511,.506,100,560
0,Aurelio Lopez,.501,.500,71,488
-2,David Green,.495,.496,126,304
0,Don Schulze,.501,.500,20,748
0,Ray Krawczyk,.501,.500,4,437
-0,Gary Rajsich*,.481,.499,7,661
-0,Ross Jones,.492,.499,17,417
0,John Henry Johnson*,.501,.500,30,405
-0,Rick Mahler,.519,.504,38,501
6,Lloyd Moseby*,.532,.531,158,561
-1,Orel Hershiser,.507,.502,45,360
-0,Sid Bream*,.497,.499,27,87
-0,Mark Ross,.500,.500,2,712
1,Mike Hargrove*,.498,.499,133,331
0,Jim Acker,.501,.500,32,3
0,Luis Aguayo,.514,.505,58,5
-1,Keith Moreland,.490,.491,140,555
-2,Luis Salazar,.491,.495,93,728
-0,Kevin Mitchell,.466,.499,7,546
-0,Burt Hooton,.498,.499,54,369
-0,Larry McWilliams*,.491,.498,36,530
-1,Randy Bush*,.486,.490,113,118
0,Joe Cowley,.501,.500,16,177
-1,Carmelo Castillo,.503,.502,87,139
0,Jim Beattie,.501,.500,32,48
-0,Jim Anderson,.495,.499,39,16
-1,Jerry Narron*,.494,.497,69,573
0,Mike Laga*,.515,.501,9,449
0,Ron Johnson,.482,.499,5,407
3,Brett Butler*,.509,.509,159,121
0,Bud Black*,.501,.500,35,70
