Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Mar 16,vs. Thomas College (Maine),"W, 13-0",3,2,2,-,-,-,1,-,-,1,-
Mar 16,vs. Bates College,"W, 6-2",4,0,0,-,-,-,0,-,-,-,-
Mar 17,vs. Bowdoin College,"L, 4-1",4,0,0,-,-,-,0,-,-,-,-
Mar 17,vs. Tufts University,"L, 9-2",4,0,2,-,-,-,0,-,-,1,-
Mar 19,vs. SUNY Geneseo,"L, 7-0",3,0,0,-,-,-,0,-,1,1,-
Mar 19,vs. University of Wisconsin-Eau Claire,"L, 4-0",3,0,1,1,-,-,0,-,-,-,-
Mar 20,vs. Benedictine University (Ill.),"L, 13-6",3,1,1,-,-,-,0,1,-,-,-
Mar 20,vs. SUNY Plattsburgh,"L, 1-0",3,0,2,-,-,-,0,-,-,-,-
Mar 24,at Salve Regina University,"W, 9-2",4,1,1,-,-,-,1,-,-,-,-
Mar 24,at Salve Regina University,"W, 4-2",4,0,2,1,-,-,0,-,-,-,-
Mar 26,at Bridgewater State University (Mass.),"L, 7-2",4,1,2,1,-,-,0,-,-,-,-
Mar 26,at Bridgewater State University (Mass.),"W, 11-3",2,2,0,-,-,-,1,-,-,-,-
Mar 29,Simmons College,"L, 3-1",3,0,0,-,-,-,0,-,1,-,-
Mar 29,Simmons College,"L, 4-3",4,1,1,-,-,-,0,-,-,-,-
Mar 30,at Eastern Connecticut State University,"L, 8-2",4,2,3,-,-,-,0,-,-,-,-
Mar 30,at Eastern Connecticut State University,"L, 9-1",3,1,2,-,-,-,0,1,-,-,-
Apr 2,at Wheaton College (Mass.),"L, 5-3",4,1,2,-,-,-,0,-,-,-,-
Apr 2,at Wheaton College (Mass.),"L, 9-8",4,2,1,1,-,-,1,-,1,1,-
Apr 4,at Brandeis University,"L, 6-4",3,1,2,-,-,-,0,-,-,1,-
Apr 4,at Brandeis University,"L, 5-3",4,0,0,-,-,-,0,-,2,-,-
Apr 6,Western Connecticut State University,"L, 8-0",3,0,1,-,-,-,0,-,-,-,-
Apr 6,Western Connecticut State University,"L, 8-1",3,0,1,-,-,-,0,-,1,-,-
Apr 9,MIT,"L, 2-1",3,0,0,-,-,-,0,-,-,-,-
Apr 9,MIT,"W, 2-1",2,0,1,-,-,-,0,-,-,1,-
Apr 11,at Framingham State University,"W, 3-2",1,0,0,-,-,-,0,-,-,-,-
Apr 11,at Framingham State University,"W, 5-0",-,-,-,-,-,-,-,-,-,-,-
Apr 13,UMass Dartmouth,"W, 12-3",3,1,1,-,-,1,2,-,-,-,-
Apr 13,UMass Dartmouth,"W, 14-6",4,1,2,-,-,-,2,-,-,-,-
Apr 16,at Keene State College,"L, 2-0",3,0,1,-,-,-,0,-,-,-,-
Apr 16,at Keene State College,"L, 7-6",3,0,1,-,-,-,1,-,1,-,-
Apr 17,Curry College,"L, 2-1",3,1,1,-,1,-,0,-,-,-,-
Apr 17,Curry College,"W, 7-6",4,1,2,-,-,-,2,-,-,-,-
Apr 21,at Plymouth State University,"L, 11-10",4,1,2,-,-,-,0,-,-,-,-
Apr 21,at Plymouth State University,"L, 10-0",2,0,1,-,-,-,0,-,-,-,-
Apr 24,University of Southern Maine,"W, 6-1",3,1,1,-,-,-,0,-,-,-,-
Apr 24,University of Southern Maine,"W, 3-2",4,1,3,-,-,-,1,-,-,-,-
Apr 25,Salem State University,"L, 6-2",2,1,0,-,-,-,0,1,-,-,-
Apr 25,Salem State University,"W, 4-0",2,2,1,-,-,-,0,1,-,1,-
Apr 27,Rhode Island College,"W, 2-0",3,1,2,-,-,-,0,-,-,1,-
Apr 27,Rhode Island College,"L, 4-0",3,0,1,-,-,-,0,-,-,-,-
May 2,at Eastern Connecticut State University,"L, 5-1",3,0,0,-,-,-,0,-,-,-,-
May 2,vs. Rhode Island College,"L, 2-0",3,0,1,-,-,-,0,-,-,-,-
