H,K,N,E,Q,J,C,L,B
7.01%,34,96,79.71%,4,0.00%,1603,1.82%,1868
39.93%,21,59,52.25%,0,0.56%,978,1.18%,1778
27.44%,138,19,51.99%,13,0.00%,1021,8.32%,1658
8.10%,0,57,77.90%,0,0.43%,1433,0.00%,1629
11.42%,0,72,63.36%,5,0.00%,2111,0.00%,2470
12.55%,22,0,61.99%,0,0.00%,1225,1.54%,1426
16.12%,32,51,66.57%,0,0.00%,1686,1.52%,2109
11.30%,111,106,68.94%,0,0.00%,2233,4.02%,2762
18.68%,43,118,60.52%,28,0.00%,843,3.39%,1269
11.39%,36,136,74.00%,0,0.00%,2793,1.08%,3346
5.29%,0,139,77.66%,0,0.00%,2709,0.00%,3022
4.97%,23,10,78.30%,0,0.00%,1351,1.56%,1470
8.81%,0,221,75.12%,0,0.00%,1354,0.00%,1736
10.52%,0,87,67.70%,0,1.38%,2656,0.00%,3127
15.86%,20,104,67.79%,0,0.00%,1229,1.24%,1608
11.43%,129,83,66.74%,76,0.00%,2910,3.56%,3623
7.40%,24,130,76.07%,0,0.00%,1498,1.35%,1784
9.57%,20,147,72.78%,0,0.00%,3100,0.55%,3637
12.41%,57,34,70.17%,107,0.00%,2964,1.58%,3610
0.83%,23,97,80.50%,0,0.00%,836,2.39%,964
11.04%,0,103,75.24%,0,1.35%,1199,0.00%,1486
8.36%,86,356,70.44%,0,0.44%,2273,2.89%,2977
5.02%,24,0,87.12%,0,0.00%,1016,2.19%,1095
12.61%,0,69,65.25%,0,0.00%,730,0.00%,944
5.73%,77,145,82.45%,0,0.00%,3049,2.22%,3470
11.38%,12,171,70.76%,0,0.00%,2074,0.47%,2558
8.68%,54,211,73.47%,0,0.00%,3448,1.32%,4079
8.29%,12,129,78.25%,0,0.00%,1242,0.80%,1508
31.43%,0,117,59.80%,43,0.00%,1590,0.00%,2552
15.48%,128,41,71.27%,0,0.00%,1271,7.34%,1744
12.13%,64,117,60.88%,16,0.55%,2636,1.96%,3264
10.06%,72,163,68.03%,16,0.68%,4068,1.49%,4839
10.39%,23,12,71.00%,0,0.00%,750,2.63%,876
3.42%,10,258,76.09%,10,0.00%,2210,0.39%,2576
1.91%,109,52,86.58%,0,0.00%,1995,4.96%,2198
22.67%,32,22,60.72%,20,0.00%,1243,1.88%,1703
15.00%,0,70,67.23%,9,0.00%,2380,0.00%,2893
6.74%,42,144,73.49%,0,0.00%,1819,1.95%,2150
7.19%,13,6,75.60%,20,0.33%,3008,0.39%,3295
6.05%,8,89,61.21%,12,5.63%,1567,0.42%,1918
16.23%,17,52,66.54%,0,0.00%,597,2.14%,795
9.63%,0,162,77.43%,0,0.00%,3329,0.00%,3863
6.06%,175,82,68.39%,10,0.79%,1492,9.22%,1898
10.03%,0,101,75.91%,0,0.00%,1576,0.00%,1864
5.94%,74,131,78.72%,14,0.00%,2742,2.35%,3148
17.72%,154,111,60.41%,19,1.01%,2284,4.87%,3160
24.27%,151,90,56.51%,0,0.00%,1032,8.98%,1681
8.00%,41,165,70.29%,0,0.00%,1531,2.17%,1888
16.46%,43,0,61.81%,0,0.00%,2333,1.51%,2844
18.70%,36,188,61.62%,9,0.00%,1730,1.47%,2444
21.18%,54,182,62.65%,0,0.00%,2140,1.78%,3031
3.33%,13,311,82.97%,17,0.00%,2854,0.39%,3305
10.01%,41,27,77.36%,0,0.00%,1634,2.16%,1899
9.67%,156,107,64.64%,0,0.00%,2230,5.65%,2760
23.92%,95,122,59.50%,11,0.00%,1422,4.33%,2195
