Rank,Name,Score,UGA vs. LSU,UK vs. Fla,Miss vs. Ark,Duke vs. Vandy,Bama vs. Tenn,OU vs. KanSt,Ok St vs. Texas,MichSt vs. Mich,VT vs. FSU,TxTech vs. Kan,PSU vs. Oh St,USC vs. Zona,Col vs. Mizzou,UVA vs. GaTech,WF vs. MiaFL,BC vs. UNC
 ,Actual Winners >>>, ,UGA,Fla,Miss,Duke,Bama,OU,Texas,MichSt,FSU,TxTech,PSU,USC,Mizzou,UVA,MiaFL,UNC
103.0,drj,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,FSU,TxTech,Oh St,USC,Mizzou,GaTech,MiaFL,UNC
103.0,chinesebandit88,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,FSU,TxTech,Oh St,USC,Mizzou,GaTech,MiaFL,UNC
103.0,995webmaster,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,FSU,Kan,PSU,USC,Mizzou,GaTech,MiaFL,UNC
103.0,eyefortigers,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,FSU,TxTech,PSU,USC,Mizzou,UVA,WF,BC
103.0,ChenierauTigre,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,Mich,FSU,TxTech,PSU,USC,Mizzou,GaTech,MiaFL,UNC
103.0,mitten2daBOOT,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,FSU,TxTech,Oh St,USC,Mizzou,GaTech,MiaFL,UNC
103.0,RedlandsTiger,12-4,LSU,Fla,Miss,Vandy,Tenn,OU,Texas,MichSt,FSU,TxTech,PSU,USC,Mizzou,GaTech,MiaFL,UNC
103.0,tzimme4,12-4,UGA,Fla,Miss,Vandy,Tenn,OU,Texas,MichSt,VT,TxTech,PSU,USC,Mizzou,GaTech,MiaFL,UNC
103.0,floridatigers,12-4,LSU,Fla,Miss,Vandy,Tenn,OU,Texas,MichSt,FSU,TxTech,PSU,USC,Mizzou,GaTech,MiaFL,UNC
103.0,Alahunter,12-4,LSU,Fla,Miss,Duke,Bama,OU,Texas,MichSt,FSU,TxTech,Oh St,USC,Mizzou,GaTech,WF,UNC
103.0,Fatback,12-4,LSU,Fla,Miss,Vandy,Tenn,OU,Texas,MichSt,FSU,TxTech,PSU,USC,Mizzou,GaTech,MiaFL,UNC
103.0,TenTex,12-4,LSU,Fla,Miss,Vandy,Tenn,OU,Texas,MichSt,FSU,Kan,PSU,USC,Mizzou,UVA,MiaFL,UNC
103.0,lsu31always,12-4,UGA,Fla,Miss,Vandy,Bama,OU,Texas,Mich,VT,TxTech,PSU,USC,Mizzou,GaTech,MiaFL,UNC
103.0,LostSnake18,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,FSU,Kan,PSU,USC,Mizzou,GaTech,MiaFL,UNC
103.0,Ugonbealrite,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Ok St,MichSt,FSU,TxTech,PSU,USC,Mizzou,UVA,WF,UNC
103.0,The Juice,12-4,LSU,Fla,Miss,Duke,Bama,OU,Texas,Mich,FSU,TxTech,Oh St,USC,Mizzou,GaTech,MiaFL,UNC
103.0,tooputt,12-4,UGA,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,VT,TxTech,PSU,USC,Mizzou,UVA,WF,BC
103.0,TigerRock,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,FSU,TxTech,Oh St,USC,Mizzou,GaTech,MiaFL,UNC
103.0,LSU Tiger Fan 2,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,VT,TxTech,PSU,USC,Mizzou,GaTech,MiaFL,UNC
103.0,poop,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,FSU,TxTech,Oh St,USC,Mizzou,UVA,WF,UNC
103.0,MJRuffalo,12-4,UGA,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,FSU,Kan,Oh St,USC,Mizzou,UVA,WF,UNC
103.0,LSUownsSEC,12-4,UGA,Fla,Miss,Vandy,Bama,OU,Ok St,MichSt,FSU,TxTech,PSU,USC,Mizzou,GaTech,WF,UNC
103.0,Ghostfacedistiller,12-4,LSU,Fla,Miss,Vandy,Tenn,OU,Texas,MichSt,FSU,TxTech,PSU,USC,Mizzou,UVA,MiaFL,BC
103.0,tygerann,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,FSU,Kan,PSU,USC,Mizzou,GaTech,MiaFL,UNC
103.0,nashcat,12-4,LSU,Fla,Miss,Vandy,Bama,OU,Texas,MichSt,VT,TxTech,PSU,USC,Mizzou,GaTech,MiaFL,UNC
