SLG,GIDP,G,3B
.000,0,1,0
.436,4,54,8
.404,8,57,0
.275,1,32,0
.000,0,1,0
.351,2,30,0
.303,2,57,1
.444,3,68,6
.306,2,27,0
.439,0,37,0
.198,0,31,0
.345,2,53,3
.197,1,23,0
.330,1,35,1
.241,0,20,0
.401,3,48,2
.212,4,51,0
.361,6,59,2
.330,2,26,0
.342,3,69,0
.420,4,35,0
.181,1,30,0
.422,8,70,1
.450,6,43,0
.272,2,58,2
.468,4,66,1
.366,4,67,1
.330,3,63,1
.247,7,37,1
.224,5,52,0
--,0,1,0
.297,2,66,1
.238,3,38,0
.864,0,7,1
.366,6,34,0
.441,8,64,4
.302,4,59,2
.328,1,14,1
.297,1,54,1
--,0,1,0
.255,4,38,0
.194,2,52,0
.311,3,24,0
.434,2,68,1
.255,2,40,1
.400,5,33,1
.346,7,50,2
.489,3,37,2
.313,3,22,0
.504,3,70,2
.466,7,54,1
.094,0,15,0
.393,2,68,3
.333,5,58,0
.346,1,18,0
.414,2,33,1
