Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Justin Verlander,DET,74,19,4,0,3,12,1,11,0,1,0.257,0.267,0.432,0.699
Jake Westbrook, ,66,14,2,0,0,3,0,5,2,0,0.212,0.212,0.242,0.455
Zack Greinke,LA,54,21,3,0,3,8,0,10,0,0,0.389,0.4,0.611,1.011
John Lackey,STL,48,11,2,0,0,3,3,7,1,0,0.229,0.269,0.271,0.54
Nick Blackburn, ,47,17,3,0,0,3,0,3,1,0,0.362,0.38,0.426,0.806
Felix Hernandez,SEA,43,9,3,0,1,1,2,10,0,2,0.209,0.244,0.349,0.593
Bartolo Colon,NY-N,42,14,2,0,1,4,1,1,0,0,0.333,0.364,0.452,0.816
Justin Masterson,BOS,39,15,5,0,0,6,2,5,0,0,0.385,0.405,0.513,0.918
Jeremy Bonderman, ,39,13,3,0,1,5,0,5,0,0,0.333,0.325,0.487,0.812
James Shields,SD,39,8,2,0,0,3,1,5,0,0,0.205,0.225,0.256,0.481
Jeremy Guthrie,KC,38,13,3,0,1,5,1,2,0,0,0.342,0.35,0.5,0.85
Mike Mussina, ,38,13,2,0,1,6,0,4,0,0,0.342,0.342,0.474,0.816
Carl Pavano, ,38,12,4,1,1,5,0,2,2,0,0.316,0.333,0.553,0.886
Ervin Santana,MIN,38,8,2,0,2,3,1,7,0,0,0.211,0.231,0.421,0.652
Cliff Lee,PHI,37,12,3,0,1,3,0,3,0,0,0.324,0.359,0.486,0.845
Gil Meche, ,37,11,1,0,0,2,2,3,0,1,0.297,0.333,0.324,0.658
Bruce Chen, ,36,15,0,0,2,4,2,4,1,0,0.417,0.462,0.583,1.045
Max Scherzer,WAS,36,11,1,1,1,7,0,4,0,0,0.306,0.297,0.472,0.77
Brian Bannister, ,34,13,5,0,2,5,2,4,0,0,0.382,0.417,0.706,1.123
Paul Byrd, ,34,8,1,0,0,2,2,1,0,0,0.235,0.297,0.265,0.562
Roberto Hernandez,HOU,34,7,2,0,0,1,1,4,0,0,0.206,0.25,0.265,0.515
Joel Pineiro, ,33,9,1,0,2,4,1,5,0,0,0.273,0.294,0.485,0.779
Jeff Weaver, ,31,10,1,0,1,1,0,3,0,0,0.323,0.417,0.452,0.868
Doug Fister,WAS,30,6,0,0,3,5,0,2,1,0,0.2,0.194,0.5,0.694
Nate Robertson, ,29,11,2,0,1,5,1,7,1,0,0.379,0.4,0.552,0.952
Carlos Silva, ,29,8,1,0,2,5,0,0,1,0,0.276,0.313,0.517,0.83
Ubaldo Jimenez,BAL,29,6,2,0,1,2,1,3,1,0,0.207,0.233,0.379,0.613
Jon Garland, ,28,11,2,0,2,5,1,1,0,0,0.393,0.433,0.679,1.112
Ryan Dempster, ,28,10,1,0,2,7,2,5,0,0,0.357,0.4,0.607,1.007
Tim Wakefield, ,28,9,2,0,2,5,3,2,1,0,0.321,0.387,0.607,0.994
A.J. Burnett,PIT,28,8,5,0,0,3,0,6,1,0,0.286,0.31,0.464,0.775
Rick Porcello,BOS,28,6,0,0,1,2,1,2,0,0,0.214,0.241,0.321,0.563
Josh Beckett, ,27,8,1,0,1,4,1,6,0,0,0.296,0.31,0.444,0.755
CC Sabathia,NY-A,27,6,2,0,1,2,0,6,0,0,0.222,0.222,0.407,0.63
Edwin Jackson, ,26,10,0,0,2,2,1,4,0,1,0.385,0.407,0.615,1.023
Joe Saunders,SEA,26,6,1,0,1,5,0,5,0,0,0.231,0.231,0.385,0.615
Jered Weaver,ANA,26,6,1,0,0,0,2,3,0,0,0.231,0.31,0.269,0.58
Andy Pettitte, ,25,9,2,0,1,5,0,2,0,0,0.36,0.36,0.56,0.92
Scott Baker,LA,25,8,2,0,0,3,0,3,1,0,0.32,0.32,0.4,0.72
Roy Halladay, ,25,7,1,0,1,7,0,4,0,0,0.28,0.28,0.44,0.72
Francisco Liriano,PIT,25,6,2,0,0,2,2,7,1,0,0.24,0.296,0.32,0.616
Kevin Millwood, ,25,5,2,0,0,0,1,3,0,0,0.2,0.259,0.28,0.539
Carlos Zambrano, ,24,8,0,0,1,2,3,1,0,1,0.333,0.429,0.458,0.887
Runelvys Hernandez, ,24,7,1,0,1,6,1,2,0,0,0.292,0.308,0.458,0.766
Chris Tillman,BAL,24,7,1,0,1,4,0,1,0,0,0.292,0.292,0.458,0.75
Erik Bedard, ,23,9,0,0,2,4,0,2,0,0,0.391,0.391,0.652,1.043
Mark Buehrle,TOR,23,8,0,0,0,3,0,4,0,0,0.348,0.36,0.348,0.708
Luke Hochevar,KC,23,5,0,0,0,1,1,1,0,0,0.217,0.25,0.217,0.467
Trevor Cahill,LA,21,7,1,0,1,3,2,1,0,0,0.333,0.375,0.524,0.899
Jon Lester,CHI-N,21,7,3,0,0,3,0,6,0,1,0.333,0.348,0.476,0.824
Luis Mendoza, ,21,7,2,0,2,7,0,4,0,0,0.333,0.364,0.714,1.078
Matt Guerrier,MIN,21,2,0,0,0,0,0,3,0,0,0.095,0.095,0.095,0.19
Brad Radke, ,20,8,2,0,0,0,1,1,0,0,0.4,0.429,0.5,0.929
Boof Bonser, ,20,7,1,0,0,1,2,5,0,0,0.35,0.409,0.4,0.809
Scott Feldman,HOU,20,4,2,0,0,1,0,3,0,0,0.2,0.273,0.3,0.573
David Price,TOR,20,4,1,0,1,3,0,2,0,0,0.2,0.238,0.4,0.638
Johan Santana, ,20,2,0,0,0,0,0,5,0,0,0.1,0.1,0.1,0.2
Jeff Suppan, ,19,9,3,0,0,6,0,2,0,0,0.474,0.45,0.632,1.082
Scott Elarton, ,19,7,1,0,1,2,1,1,0,0,0.368,0.4,0.579,0.979
Steve Sparks, ,19,6,1,0,0,3,0,0,0,0,0.316,0.35,0.368,0.718
Aaron Harang,PHI,19,5,1,0,0,2,1,2,0,0,0.263,0.3,0.316,0.616
R.A. Dickey,TOR,18,6,1,0,2,3,1,3,0,0,0.333,0.368,0.722,1.091
Colby Lewis,TEX,18,6,1,0,0,0,0,2,0,0,0.333,0.333,0.389,0.722
Cory Lidle, ,18,4,2,0,0,1,0,2,0,0,0.222,0.222,0.333,0.556
Phil Hughes,MIN,18,3,0,0,0,0,0,2,0,0,0.167,0.167,0.167,0.333
Ivan Nova,NY-A,18,3,0,0,0,1,1,2,0,0,0.167,0.2,0.167,0.367
Jason Johnson, ,17,9,2,0,1,3,0,0,1,0,0.529,0.556,0.824,1.379
Greg Maddux, ,17,9,1,0,0,2,0,1,0,0,0.529,0.529,0.588,1.118
Joe Kennedy, ,17,6,3,1,1,8,1,1,0,1,0.353,0.368,0.824,1.192
Joakim Soria,PIT,17,6,1,0,0,1,0,0,0,0,0.353,0.368,0.412,0.78
Jason Vargas,KC,17,6,1,1,0,1,0,0,0,0,0.353,0.353,0.529,0.882
Esteban Loaiza, ,17,5,1,0,0,2,0,4,0,0,0.294,0.294,0.353,0.647
Kyle Davies,NY-A,17,4,0,0,0,0,1,1,0,0,0.235,0.316,0.235,0.551
Brian Duensing,MIN,17,4,0,0,0,0,0,0,0,0,0.235,0.278,0.235,0.513
Jerome Williams,PHI,17,3,0,0,0,1,0,2,0,1,0.176,0.176,0.176,0.353
Dan Haren,CHI-N,16,5,0,0,0,1,0,1,0,0,0.313,0.313,0.313,0.625
Livan Hernandez, ,16,5,1,0,0,0,0,2,0,0,0.313,0.313,0.375,0.688
Matt Garza,MIL,16,4,0,0,2,3,1,1,0,0,0.25,0.294,0.625,0.919
Miguel Batista, ,16,3,1,0,0,4,3,2,0,0,0.188,0.316,0.25,0.566
Daniel Cabrera, ,16,3,1,0,0,1,2,1,0,0,0.188,0.316,0.25,0.566
Jason Davis, ,16,3,2,0,0,1,2,0,1,0,0.188,0.316,0.313,0.628
Brad Penny,CHI-A,16,2,0,0,0,2,0,0,0,0,0.125,0.111,0.125,0.236
Joel Peralta,LA,16,2,1,0,0,0,1,3,0,0,0.125,0.176,0.188,0.364
Adam Bernero, ,15,7,3,0,0,5,1,1,0,0,0.467,0.471,0.667,1.137
Clay Buchholz,BOS,15,6,1,0,0,2,0,1,0,0,0.4,0.4,0.467,0.867
Tim Hudson,SF,15,4,1,0,0,3,0,1,0,0,0.267,0.267,0.333,0.6
Scott Kazmir,HOU,15,4,0,0,0,0,0,2,0,0,0.267,0.267,0.267,0.533
Corey Kluber,CLE,15,4,1,0,1,1,1,3,0,1,0.267,0.313,0.533,0.846
Hiroki Kuroda, ,15,4,0,0,2,3,0,3,0,0,0.267,0.267,0.667,0.933
Vicente Padilla, ,15,4,1,0,2,4,1,3,0,0,0.267,0.389,0.733,1.122
Jake Peavy,SF,15,4,0,0,0,2,0,2,0,0,0.267,0.313,0.267,0.579
Rafael Betancourt,COL,15,3,2,0,0,1,0,1,0,1,0.2,0.2,0.333,0.533
Phil Coke,OAK,15,3,1,0,0,1,0,1,2,0,0.2,0.2,0.267,0.467
Aaron Cook, ,15,3,0,0,0,1,1,3,0,0,0.2,0.294,0.2,0.494
Armando Galarraga, ,15,3,0,0,1,2,0,0,0,0,0.2,0.2,0.4,0.6
Rich Harden, ,15,3,2,0,0,1,1,4,0,0,0.2,0.25,0.333,0.583
Jarrod Washburn, ,15,3,0,0,1,3,1,3,1,0,0.2,0.235,0.4,0.635
Mariano Rivera, ,15,0,0,0,0,0,1,3,0,0,0.0,0.118,0.0,0.118
Tommy Hunter,CHI-N,14,6,0,0,1,2,0,0,0,0,0.429,0.429,0.643,1.071
Jeff Niemann, ,14,6,0,0,0,2,0,1,0,0,0.429,0.4,0.429,0.829
Darrell May, ,14,5,2,0,0,1,0,2,0,0,0.357,0.357,0.5,0.857
Brandon Morrow,SD,14,5,0,0,0,2,1,1,1,0,0.357,0.375,0.357,0.732
C.J. Wilson,ANA,14,5,0,0,0,3,0,6,0,0,0.357,0.4,0.357,0.757
Wei-Yin Chen,BAL,14,4,2,0,0,2,0,5,0,0,0.286,0.286,0.429,0.714
