3B,OPS,2B,SO,AVG,SLG,SB
0,0.65,5,52,0.215,0.311,7
3,0.511,6,32,0.183,0.298,13
0,0.751,10,12,0.297,0.407,1
0,0.623,6,31,0.234,0.31,14
0,0.8,0,2,0.4,0.4,0
0,0.953,19,37,0.359,0.543,0
2,0.734,9,61,0.271,0.369,20
0,0.0,0,2,0.0,0.0,0
0,0.758,6,9,0.298,0.404,0
0,0.485,5,21,0.19,0.248,6
1,1.0,1,0,0.333,0.667,0
0,0.547,1,18,0.215,0.223,10
1,0.661,5,25,0.218,0.406,4
1,0.672,11,76,0.242,0.383,1
0,0.516,2,2,0.189,0.243,2
2,0.936,9,28,0.322,0.55,0
0,0.848,13,38,0.291,0.469,2
0,0.888,12,32,0.327,0.462,3
0,0.0,0,2,0.0,0.0,0
1,0.78,12,36,0.329,0.421,15
1,1.235,7,22,0.355,0.79,0
0,0.819,5,16,0.26,0.48,1
1,0.708,7,34,0.27,0.358,10
1,0.888,15,25,0.311,0.503,2
0,0.961,2,11,0.36,0.52,0
0,0.526,5,24,0.222,0.291,1
1,0.737,6,14,0.253,0.4,2
1,0.494,3,33,0.188,0.247,2
1,0.841,7,28,0.258,0.539,1
0,0.736,2,5,0.231,0.308,0
2,0.546,7,27,0.208,0.296,2
1,0.582,6,48,0.219,0.281,4
0,1.2,0,0,0.6,0.6,1
0,0.709,8,44,0.261,0.385,2
4,0.734,9,53,0.246,0.407,20
0,0.577,10,52,0.227,0.285,5
1,0.55,3,17,0.212,0.306,0
2,0.628,8,39,0.259,0.365,2
5,0.768,4,59,0.273,0.447,15
0,1.0,1,0,0.333,0.667,0
0,0.455,7,42,0.144,0.233,0
1,0.637,6,31,0.229,0.325,9
0,0.667,0,1,0.333,0.333,0
0,0.664,7,11,0.245,0.316,0
0,0.778,10,34,0.299,0.451,0
0,0.575,4,28,0.242,0.284,1
1,0.845,14,40,0.297,0.453,2
5,0.729,5,38,0.25,0.409,8
0,0.669,7,55,0.256,0.366,7
1,0.681,6,32,0.252,0.359,0
2,0.725,7,43,0.249,0.385,0
2,0.513,2,21,0.188,0.248,1
1,0.544,3,14,0.206,0.255,3
2,0.639,14,64,0.217,0.376,8
1,0.884,10,27,0.32,0.5,0
0,0.5,1,3,0.214,0.286,0
2,0.677,6,26,0.239,0.354,1
0,0.46,1,39,0.174,0.182,4
0,0.616,4,11,0.261,0.319,1
2,0.628,2,17,0.218,0.34,2
0,0.877,5,9,0.361,0.443,0
0,0.504,0,3,0.2,0.2,0
1,0.758,12,35,0.272,0.408,3
1,0.625,10,33,0.258,0.327,12
0,0.753,6,15,0.268,0.423,0
0,0.609,11,31,0.229,0.322,2
2,0.777,8,30,0.25,0.462,0
3,0.709,10,72,0.233,0.394,3
4,0.615,7,46,0.22,0.337,4
1,0.608,4,51,0.242,0.297,5
0,0.367,3,8,0.132,0.189,0
0,0.685,4,22,0.273,0.364,0
0,0.576,8,38,0.221,0.305,0
0,1.061,11,21,0.408,0.592,5
0,0.642,4,39,0.214,0.318,0
0,0.489,0,1,0.125,0.125,1
0,0.505,4,27,0.15,0.267,0
0,0.98,6,20,0.365,0.574,0
4,0.522,8,57,0.181,0.265,6
2,0.644,1,14,0.232,0.366,1
