TOV%,GmSc,Date,GS,TRB%,ORtg,TS%
20.0,-3.2,1992-11-19,0,6.1,14,.000
40.0,-3.1,1993-03-02,0,20.2,21,.000
40.0,3.1,1993-02-25,0,9.0,96,.667
100.0,-2.4,1992-11-13,0,0.0,0, 
0.0,8.4,1993-02-13,1,13.7,175,.800
0.0,0.5,1992-12-02,0,27.3,66,.266
0.0,2.0,1993-04-02,0,21.1,124,.333
0.0,4.6,1993-03-15,0,8.2,110,.421
0.0,2.4,1993-01-02,0,0.0,202,1.000
25.4,0.6,1992-12-23,0,21.7,68,.170
17.0,1.7,1993-01-28,0,17.4,90,.410
40.0,-1.7,1992-12-09,0,0.0,39,.333
75.0,-1.5,1993-02-03,0,13.0,45,1.000
12.7,5.4,1993-03-05,0,8.0,111,.581
0.0,5.1,1993-01-12,0,11.6,175,.694
33.3,1.0,1992-12-04,0,9.7,77,.500
0.0,1.3,1993-02-23,0,0.0,122,.568
0.0,1.3,1992-12-26,0,4.4,113,.500
0.0,-0.6,1992-11-06,0,6.7,29,.000
0.0,2.9,1993-04-06,0,18.0,123,.500
0.0,3.4,1992-12-15,0,12.9,116,.400
17.0,-0.6,1992-11-28,0,6.9,55,.205
0.0,5.4,1993-01-24,0,4.8,161,.750
11.9,18.0,1993-01-26,1,19.6,134,.640
29.1,1.1,1992-11-09,0,20.0,68,.307
0.0,0.9,1992-11-24,0,0.0,88,.266
26.9,1.8,1992-12-19,0,6.5,88,.643
6.3,6.9,1993-03-26,0,13.3,91,.373
0.0,-2.0,1993-02-01,0,3.7,0,.000
26.5,5.2,1993-02-15,1,11.0,107,.541
0.0,-1.6,1993-01-08,0,13.3,27,.000
8.3,14.0,1993-01-15,0,16.9,128,.677
0.0,1.2,1993-04-09,0,9.5,97,.387
0.0,-0.2,1993-03-09,0,0.0,117,.500
12.5,7.4,1993-03-12,0,17.4,131,.714
22.2,4.5,1993-01-22,0,10.9,90,.429
0.0,9.2,1993-03-19,0,10.0,161,.727
0.0,2.8,1993-03-11,0,10.9,125,.563
0.0,5.9,1993-04-16,0,0.0,139,.717
25.8,4.6,1993-04-22,0,4.0,153,1.042
