G,RBI,3B,CS
12,5,0,1
63,30,2,4
103,40,2,0
25,10,0,0
77,45,0,5
63,28,2,4
3,0,0,0
37,15,0,1
10,2,0,0
116,55,3,3
2,1,0,0
37,7,1,0
19,8,0,0
5,1,0,0
90,45,2,6
7,1,0,0
23,19,0,1
67,50,3,0
6,2,0,0
132,35,4,10
4,2,0,1
109,31,1,4
5,2,0,0
6,1,0,0
7,4,0,0
30,18,0,0
17,11,1,3
9,1,0,0
18,11,1,2
132,97,4,1
15,2,0,1
51,23,2,1
25,1,0,0
7,5,0,1
1,0,0,0
9,2,0,0
49,10,1,0
19,7,0,1
96,30,2,1
3,3,0,0
78,26,3,1
5,1,0,0
51,35,2,1
47,20,2,0
21,6,0,0
18,1,0,0
47,17,0,0
2,0,0,0
74,44,2,2
27,8,0,2
57,12,0,4
3,4,0,0
9,9,0,0
103,54,2,7
1,0,0,0
62,19,1,4
82,30,1,4
1,0,0,0
55,22,1,1
39,25,0,0
77,25,1,10
51,21,2,0
67,34,6,5
75,9,0,5
31,10,0,0
112,77,2,3
123,59,4,4
20,7,0,0
50,11,1,1
4,2,0,0
5,5,0,0
4,1,0,0
26,3,0,0
132,31,5,14
4,0,0,0
3,0,0,0
24,7,2,3
50,15,2,0
77,17,4,5
26,4,0,0
7,3,0,0
15,2,1,0
16,0,0,0
94,64,0,1
1,0,0,0
50,27,0,0
34,9,0,1
122,54,3,3
20,2,0,1
132,62,5,3
89,34,3,2
6,3,1,1
1,0,0,0
68,38,3,5
99,52,3,8
38,17,1,3
47,33,2,5
10,0,0,0
117,60,4,7
100,39,0,0
72,27,1,6
19,15,0,0
8,2,0,0
91,30,1,2
72,49,1,4
12,2,0,0
1,0,0,0
120,71,2,4
1,0,0,0
78,35,2,1
40,9,1,5
113,29,2,6
30,13,0,0
9,2,0,0
61,35,1,1
17,6,0,0
125,71,6,7
3,2,0,0
117,44,1,4
135,78,3,3
31,7,0,0
1,0,0,0
8,5,0,0
4,3,0,0
92,66,1,1
51,31,0,1
1,0,0,0
14,3,0,0
103,54,1,0
59,18,1,0
3,0,0,0
52,22,0,1
5,2,0,0
60,49,0,0
58,26,4,4
29,12,0,1
41,15,0,0
102,37,2,1
128,60,8,7
122,62,5,1
42,26,0,0
35,0,0,1
130,53,4,3
109,45,3,6
126,57,2,7
64,21,4,3
24,8,0,0
1,0,0,0
9,6,0,0
7,1,0,0
64,30,1,2
70,32,4,4
114,48,0,4
113,35,5,5
1,0,0,0
62,33,1,2
2,0,1,1
