MP,Date,DRB%
25:46,2007-01-31,25.2
18:54,2006-12-01,24.6
22:23,2007-03-14,22.6
20:32,2006-12-17,17.1
18:04,2007-02-28,14.0
16:53,2006-11-08,33.1
23:57,2007-02-26,34.4
16:51,2006-12-02,20.8
17:44,2006-11-05,21.4
14:40,2006-11-17,0.0
21:54,2007-01-15,17.3
22:11,2007-04-06,9.8
22:34,2007-04-09,31.1
19:44,2006-11-26,30.4
9:34,2007-01-09,12.9
21:34,2007-01-24,20.7
16:11,2007-02-24,10.8
12:12,2007-02-14,42.5
9:15,2007-03-18,10.6
7:16,2006-11-29,0.0
22:53,2007-03-12,6.2
31:38,2007-01-05,15.2
35:44,2006-12-20,19.2
30:46,2007-01-12,21.3
30:45,2007-03-21,12.2
18:13,2006-12-06,6.4
12:37,2006-11-10,28.5
11:15,2006-11-12,24.4
20:06,2007-04-04,7.7
14:05,2006-11-28,33.3
16:21,2007-01-14,13.3
