AVG,OPS,SH,G,SO,SLG,GIDP,BB,CS,SB
.259,.708,2,46,57,.395,2,11,5,10
.257,.709,2,72,63,.390,6,21,2,4
.272,.749,3,77,31,.430,8,20,3,10
.176,.596,3,31,23,.284,3,17,0,3
.238,.638,0,6,6,.333,0,1,0,0
.267,.775,0,56,56,.406,2,23,2,3
.279,.702,1,31,19,.375,6,7,3,6
.348,.714,1,25,7,.348,1,2,1,3
.289,.666,0,118,61,.331,6,29,3,9
.242,.613,0,68,76,.328,8,16,0,0
.234,.720,1,103,113,.401,6,31,3,17
.242,.654,7,91,60,.322,4,40,6,15
.222,.587,0,10,9,.278,0,4,0,0
.250,.768,0,22,14,.431,1,10,0,2
.233,.593,3,115,53,.287,9,25,8,20
.059,.425,0,6,5,.118,0,6,0,0
.190,.515,0,51,34,.226,8,24,0,2
.228,.622,1,76,87,.308,7,26,6,4
.267,.766,0,124,95,.440,7,39,2,1
.263,.613,0,74,27,.284,6,27,1,3
.125,.347,0,3,2,.125,0,1,0,1
.256,.751,0,26,19,.410,0,10,2,1
.189,.593,0,89,108,.354,9,22,0,0
.204,.596,0,32,22,.290,4,11,0,0
.164,.495,0,79,113,.289,5,12,2,1
.272,.728,1,77,44,.385,4,32,0,7
.306,.941,0,24,14,.565,0,7,0,0
.245,.734,0,52,60,.431,5,14,0,0
.308,.742,0,5,0,.385,0,1,0,1
.230,.595,2,70,38,.291,4,22,2,4
.176,.516,0,7,9,.294,0,1,0,0
.197,.582,0,77,67,.301,9,28,1,0
.333,.762,0,4,3,.333,0,1,0,0
.242,.523,2,28,21,.253,2,3,0,1
.341,.898,1,32,19,.472,4,19,1,3
.254,.671,9,119,39,.328,8,61,15,34
.238,.640,0,105,121,.353,6,19,1,10
.143,.393,0,4,3,.143,0,1,0,0
.203,.637,3,49,28,.333,3,16,3,3
.172,.514,1,9,6,.241,1,2,0,0
.325,.802,3,78,31,.409,6,29,12,47
.198,.570,1,103,126,.303,6,35,5,7
.266,.775,7,116,102,.426,6,38,7,25
.265,.748,9,106,87,.345,7,90,6,20
.284,.704,4,57,37,.364,6,14,1,8
.293,.829,0,29,25,.424,3,18,1,2
.287,.833,1,117,80,.444,11,67,5,4
.292,.771,0,25,12,.404,2,11,2,2
.211,.601,1,26,25,.311,1,8,6,11
.204,.664,3,107,89,.338,11,52,1,1
.266,.822,1,107,94,.494,5,30,3,4
.278,.714,0,10,5,.333,0,6,0,1
.250,.690,2,83,72,.367,3,31,3,13
.277,.732,1,78,44,.416,10,14,7,6
.283,.737,1,99,61,.389,10,27,5,9
.275,.824,0,131,89,.447,15,78,1,2
.271,.670,0,30,12,.313,2,13,5,1
.246,.669,3,105,96,.371,6,31,9,15
.246,.753,1,50,40,.394,3,30,1,5
.193,.542,0,29,16,.265,3,10,0,1
.326,.871,1,48,34,.461,4,26,1,11
.200,.583,0,9,4,.333,2,2,0,0
.098,.278,2,17,8,.118,2,4,0,0
.200,.570,3,111,114,.277,5,47,8,13
.261,.826,0,63,57,.464,4,35,0,0
.241,.627,1,55,38,.325,5,16,2,11
.200,.609,0,58,55,.350,3,14,3,0
.091,.182,0,4,5,.091,0,0,0,0
.286,.767,0,56,30,.453,9,11,1,4
.292,.755,1,121,76,.416,9,37,6,15
.230,.595,1,78,63,.321,3,15,1,5
.263,.693,3,116,81,.353,1,47,1,19
.197,.554,1,49,35,.261,3,22,3,4
.231,.641,0,6,4,.308,1,2,1,0
.274,.718,3,63,66,.370,5,27,5,18
.305,.905,2,82,46,.521,6,32,4,10
.276,.723,2,69,47,.359,4,39,6,25
.261,.703,6,84,63,.409,3,13,6,11
.246,.694,1,22,18,.338,4,9,0,0
.262,.803,0,50,57,.471,6,21,1,7
.267,.718,0,128,74,.375,25,53,8,7
.261,.847,2,109,125,.501,5,45,5,11
.296,.700,0,7,4,.333,0,2,1,0
.168,.417,4,42,29,.177,2,11,2,1
.247,.707,1,111,90,.420,7,22,7,6
.277,.721,1,89,52,.355,8,33,0,1
.279,.852,0,114,73,.482,10,56,0,1
.320,.894,1,100,44,.482,5,34,8,16
.286,.856,1,78,40,.457,5,53,4,10
