Year,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,OBP,SLG,AVG
2015,St. Louis,NL,100,385,44,110,21,1,14,51,33,74,1,2,0.344,0.455,0.286
2014,St. Louis,NL,157,560,61,147,38,0,21,75,58,112,3,2,0.336,0.443,0.263
2013,Detroit,AL,107,409,50,124,30,0,11,55,35,98,3,3,0.358,0.457,0.303
2012,Detroit,AL,150,531,58,127,32,3,13,63,49,105,1,2,0.305,0.384,0.239
2011,Detroit,AL,146,525,68,157,25,3,21,86,40,95,0,2,0.345,0.478,0.299
2010,Detroit,AL,57,217,23,55,7,0,8,38,21,34,0,0,0.314,0.396,0.253
 ,Cleveland,AL,91,334,37,82,23,2,7,43,32,69,1,0,0.308,0.389,0.246
 ,Total Cle/Det,AL,148,551,60,137,30,2,15,81,53,103,1,0,0.311,0.392,0.249
2009,Cleveland,AL,151,582,57,148,35,1,11,83,51,134,0,2,0.316,0.375,0.254
2008,Cleveland,AL,154,605,104,167,42,4,23,89,48,126,3,1,0.331,0.473,0.276
2007,Cleveland,AL,152,574,87,155,27,1,21,72,61,146,4,4,0.341,0.43,0.27
2006,Cleveland,AL,149,569,84,146,28,3,13,68,56,152,0,1,0.323,0.385,0.257
2005,Cleveland,AL,141,504,82,147,35,4,24,78,58,128,0,2,0.366,0.52,0.292
2004,Cleveland,AL,8,25,2,6,1,0,0,2,3,6,0,1,0.321,0.28,0.24
 ,Buffalo,AAA,138,556,109,181,44,2,15,86,54,126,8,4,0.384,0.493,0.326
2003,Cleveland,AL,77,242,24,55,10,1,4,21,20,65,1,3,0.295,0.326,0.227
 ,Buffalo,AAA,63,237,25,61,12,1,1,21,15,45,1,3,0.31,0.329,0.257
2002,Akron,AA,130,470,62,132,28,5,15,62,45,97,4,2,0.343,0.457,0.281
2001,Kinston,A,125,441,57,106,24,2,7,47,58,148,4,8,0.328,0.351,0.24
2000,Columbus,A,106,349,52,84,13,1,3,34,59,102,7,6,0.352,0.309,0.241
MLB,Total,MLB,1640,6062,781,1626,354,23,191,824,565,1344,17,25,0.331,0.429,0.268
AL,Total,AL,1383,5117,676,1369,295,22,156,698,474,1158,13,21,0.33,0.425,0.268
NL,Total,NL,257,945,105,257,59,1,35,126,91,186,4,4,0.339,0.448,0.272
AAA,Total,AAA,201,793,134,242,56,3,16,107,69,171,9,7,0.362,0.444,0.305
AA,Total,AA,130,470,62,132,28,5,15,62,45,97,4,2,0.343,0.457,0.281
A,Total,A,231,790,109,190,37,3,10,81,117,250,11,14,0.339,0.333,0.241
