Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,site id
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11CHI99,0.0,0.0,45.2,1993.0,L,1.0,-17M,11/28/2010,CHI004
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11CHI99,0.0,6060.0,0.0,1993.0,L,1.0,-17M,11/28/2010,CHI004
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11CHI99,50.0,0.0,0.0,1993.0,L,1.0,-17M,11/28/2010,CHI004
MCDONALD Haywood,USA,M,11CHI99,50.0,6060.0,45.2,1993.0,L,1.0,-17M,11/28/2010,CHI004
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11CHI99,0.0,0.0,33.9,1993.0,L,2.0,-17M,11/28/2010,CHI004
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11CHI99,0.0,6530.0,0.0,1993.0,L,2.0,-17M,11/28/2010,CHI004
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11CHI99,44.5,0.0,0.0,1993.0,L,2.0,-17M,11/28/2010,CHI004
MCDONALD Haywood,USA,M,11CHI99,44.5,6530.0,33.9,1993.0,L,2.0,-17M,11/28/2010,CHI004
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11S138R,0.0,0.0,46.8,1993.0,L,1.0,IM,05/15/2011,USAS0320
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11S138R,0.0,3510.0,0.0,1993.0,L,1.0,B3,05/15/2011,USAS0320
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11S138R,46.0,0.0,0.0,1993.0,L,1.0,B3,05/15/2011,USAS0320
MCDONALD Haywood,USA,M,11S138R,46.0,3510.0,46.8,1993.0,L,1.0,B3,05/15/2011,USAS0320
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11S138R,0.0,0.0,48.2,1993.0,L,2.0,IM,05/15/2011,USAS0320
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11S138R,0.0,5620.0,0.0,1993.0,L,2.0,B3,05/15/2011,USAS0320
 , , , , , , , , , , , , 
MCDONALD Haywood,USA,M,11S138R,44.5,0.0,0.0,1993.0,L,2.0,B3,05/15/2011,USAS0320
MCDONALD Haywood,USA,M,11S138R,44.5,5620.0,48.2,1993.0,L,2.0,B3,05/15/2011,USAS0320
