DRB%,USG%,Age,STL%,Opp,Date,ORB%,ORtg,MP
28.2,18.4,30-313,2.1,SAS,1992-12-30,12.3,88,25:00
10.0,9.1,30-348,3.9,UTA,1993-02-03,0.0,39,13:00
20.5,19.3,31-048,0.0,LAC,1993-04-10,4.7,68,19:00
14.9,20.5,30-351,0.0,DAL,1993-02-06,0.0,78,15:00
0.0,29.0,31-042,0.0,MIN,1993-04-04,0.0,108,3:00
0.0,39.2,31-017,0.0,WSB,1993-03-10,0.0,42,3:00
10.5,14.6,30-327,0.0,NYK,1993-01-13,0.0,0,9:00
0.0,36.7,31-036,0.0,UTA,1993-03-29,20.9,96,5:00
16.7,8.6,30-287,0.0,GSW,1992-12-04,0.0,115,14:00
56.7,19.2,31-054,5.7,DAL,1993-04-16,11.9,55,9:00
15.6,26.5,31-063,2.2,PHO,1993-04-25,9.9,76,21:00
45.2,13.5,30-302,0.0,LAL,1992-12-19,8.8,125,13:00
17.1,11.3,30-310,0.0,PHO,1992-12-27,0.0,37,21:00
24.6,7.1,30-360,0.0,MIA,1993-02-15,0.0,45,12:00
26.7,24.6,31-015,0.0,CLE,1993-03-08,20.0,144,5:00
0.0,43.3,31-011,0.0,POR,1993-03-04,0.0,0,1:00
30.8,22.1,30-341,0.0,GSW,1993-01-27,0.0,46,12:00
17.9,23.8,31-060,0.0,SAS,1993-04-22,7.6,116,23:00
0.0,13.7,30-362,5.6,ORL,1993-02-17,0.0,17,9:00
18.2,14.6,30-330,0.0,DAL,1993-01-16,0.0,91,12:00
0.0,18.5,31-056,4.8,LAC,1993-04-18,8.4,149,10:00
14.3,22.4,31-034,0.0,IND,1993-03-27,0.0,113,6:00
17.5,15.6,30-278,0.0,SAC,1992-11-25,7.1,74,20:00
10.9,35.5,30-354,0.0,SEA,1993-02-09,12.2,64,8:00
7.4,16.9,30-319,5.3,SAC,1993-01-05,6.7,76,18:00
0.0,26.6,30-335,0.0,DAL,1993-01-21,0.0,95,9:00
10.6,13.3,30-294,5.2,ATL,1992-12-11,0.0,116,10:00
10.7,13.2,30-272,0.0,DET,1992-11-19,0.0,115,10:00
23.5,20.2,30-355,0.0,LAL,1993-02-10,0.0,93,12:00
34.9,23.7,31-013,0.0,NJN,1993-03-06,16.0,91,10:00
6.6,27.5,30-350,0.0,SAC,1993-02-05,0.0,119,17:00
16.7,20.7,30-288,2.3,UTA,1992-12-05,5.1,113,21:00
11.3,29.7,30-306,0.0,PHO,1992-12-23,16.0,85,18:00
