Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
Brevard County,0.267,127,4182,554,1116,188,33,65,497,383,863,207,58,57,47,87,0.333,0.374,0.707
Fort Myers,0.265,138,4566,585,1212,208,41,60,533,473,864,128,60,44,45,115,0.341,0.368,0.71
Tampa,0.265,133,4257,573,1129,223,51,64,510,433,806,104,61,36,41,117,0.337,0.387,0.724
St. Lucie,0.261,134,4460,609,1165,235,26,107,560,450,982,88,48,25,31,88,0.338,0.398,0.736
Daytona,0.253,135,4395,527,1111,175,35,42,471,366,836,155,63,45,44,84,0.313,0.337,0.65
Dunedin,0.251,134,4382,610,1101,239,28,86,566,470,1022,115,38,18,44,79,0.328,0.377,0.705
Clearwater,0.25,136,4503,536,1124,221,23,87,487,401,1011,131,60,36,39,109,0.315,0.367,0.682
Lakeland,0.248,130,4175,520,1035,192,40,70,471,353,974,115,45,28,29,79,0.312,0.363,0.675
Jupiter,0.245,137,4403,528,1079,191,31,78,472,461,977,112,55,47,30,101,0.322,0.356,0.678
Palm Beach,0.244,138,4509,532,1100,203,51,65,477,386,1005,106,50,40,34,109,0.319,0.355,0.674
Charlotte,0.242,137,4389,526,1062,197,35,53,465,403,944,146,68,57,44,91,0.315,0.339,0.654
Sarasota,0.231,137,4477,446,1034,213,28,60,401,305,985,90,47,35,40,113,0.284,0.331,0.615
