Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Keury De La Cruz,SalGre,122,499,72,153,37,8,20,87,21,8,27,103,0.307,0.35,0.533,0.883
Shannon Wilkerson,PorSal,124,477,58,128,24,5,4,48,32,8,25,88,0.268,0.304,0.365,0.669
Xander Bogaerts,PorSal,126,475,71,145,37,3,20,81,5,5,43,106,0.305,0.371,0.522,0.893
Bryce Brentz,PawPor,127,473,62,137,30,1,17,76,7,4,41,136,0.29,0.349,0.465,0.814
Jeremy Hazelbaker,PawPor,121,466,79,127,24,6,19,67,36,11,35,122,0.273,0.335,0.472,0.807
Travis Shaw,PorSal,129,462,82,133,44,3,19,85,12,3,80,115,0.288,0.399,0.519,0.918
Jackie Bradley,PorSal,127,460,89,144,41,4,9,62,24,9,87,89,0.313,0.428,0.478,0.907
Garin Cecchini,Gre,118,455,84,139,38,4,4,62,52,7,61,90,0.305,0.394,0.433,0.827
Michael Almanzar,Sal,123,452,62,136,36,0,12,54,9,5,33,75,0.301,0.355,0.46,0.815
Henry Ramos,Gre,122,441,60,112,24,4,8,63,12,10,44,101,0.254,0.327,0.381,0.708
Brandon Jacobs,Sal,113,435,62,109,30,0,13,60,19,10,39,128,0.251,0.322,0.409,0.731
Sean Coyle,Sal,115,434,59,108,31,2,9,62,16,1,29,116,0.249,0.316,0.392,0.708
J.C. Linares,PawPor,110,413,58,130,28,2,16,62,0,1,29,67,0.315,0.363,0.508,0.872
Derrik Gibson,Por,115,405,43,91,13,3,0,26,15,6,44,93,0.225,0.304,0.272,0.576
Che-Hsuan Lin,Paw,113,396,41,97,11,5,2,30,15,5,42,65,0.245,0.321,0.313,0.634
David Renfroe,SalGre,106,388,51,97,28,0,10,69,4,1,36,76,0.25,0.324,0.399,0.724
Mauro Gomez,Paw,100,387,65,120,34,1,24,74,1,0,35,88,0.31,0.371,0.589,0.96
Heiker Meneses,PorSal,103,377,47,93,17,5,3,42,18,13,22,88,0.247,0.302,0.342,0.645
Reynaldo Rodriguez,PawPor,102,370,53,92,30,3,16,53,7,3,39,93,0.249,0.326,0.476,0.802
Christian Vazquez,PorSal,100,364,54,93,21,0,7,46,2,2,48,78,0.255,0.346,0.371,0.717
Jose Iglesias,PawLow,90,361,47,97,10,1,1,23,13,3,28,47,0.269,0.321,0.31,0.631
Boss Moanaroa,Gre,110,359,48,94,20,1,5,49,1,1,77,113,0.262,0.391,0.365,0.756
Nate Spears,Paw,108,346,46,83,16,4,10,38,3,1,43,86,0.24,0.329,0.396,0.725
Jose Garcia,Gre,92,346,61,87,15,2,7,33,25,9,45,88,0.251,0.338,0.367,0.705
Blake Swihart,Gre,92,344,44,90,17,4,7,53,6,2,26,68,0.262,0.307,0.395,0.702
