SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1993 - 1994,EHC Neuwied,Germany3,-,-,-,-,-,-,-,-,-,-,-
1994 - 1995,EHC Neuwied,Germany2,-,-,-,-,-,-,-,-,-,-,-
1995 - 1996,EHC Neuwied,Germany2,-,-,-,-,-,-,-,-,-,-,-
1996 - 1997,EHC Neuwied,Germany2,-,-,-,-,-,-,-,-,-,-,-
1997 - 1998,EHC Neuwied,Germany2,-,-,-,-,-,-,-,-,-,-,-
1998 - 1999,EHC Neuwied,Germany2,44,15,-,23,2,4,153,154,53,12,Saved in relegation
1999 - 2000,EHC Neuwied,Germany2,-,-,-,-,-,-,-,-,-,Bankruptcy,Financial relegation
2000 - 2001,SC Mittelrhein,Germany4,-,-,-,-,-,-,-,-,-,-,-
2001 - 2002,SC Mittelrhein-Neuwied,Germany3,-,-,-,-,-,-,-,-,-,-,-
2002 - 2003,SC Mittelrhein-Neuwied,Germany3,-,-,-,-,-,-,-,-,-,-,-
2003 - 2004,SC Mittelrhein-Neuwied,Germany3,36,17,-,14,1,4,129,120,57,5,-
 ,SC Mittelrhein-Neuwied,Germany3,18,2,-,11,3,2,47,70,14,9,-
2004 - 2005,SC Mittelrhein-Neuwied,Germany3,36,19,-,12,4,1,137,108,66,4,-
 ,SC Mittelrhein-Neuwied,Germany3,10,-,-,-,-,-,33,25,20,2,Quarterfinal loss
2005 - 2006,SC Mittelrhein-Neuwied,Germany3,34,-,-,-,-,-,122,113,61,8,-
 ,SC Mittelrhein-Neuwied,Germany3,18,-,-,-,-,-,54,80,15,10,Did not make playoffs
2006 - 2007,VFE Neuwied,Germany4,-,-,-,-,-,-,-,-,-,-,-
2007 - 2008,EHC Neuwied,Germany6,-,-,-,-,-,-,-,-,-,-,-
2008 - 2009,EHC Neuwied,Germany5,-,-,-,-,-,-,-,-,-,-,-
2009 - 2010,EHC Neuwied,Germany4,22,5,-,17,-,-,65,38,13,11,-
2010 - 2011,EHC Neuwied,Germany4,24,8,-,16,-,-,92,127,24,5,-
2011 - 2012,EHC Neuwied,Germany4,16,10,-,2,3,1,104,44,37,2,-
 ,EHC Neuwied,Germany3,14,7,-,3,2,2,69,55,27,3,Promoted
2012 - 2013,EHC Neuwied,Germany3,22,1,-,21,0,0,50,246,3,12,-
 ,EHC Neuwied,Germany3,18,4,-,13,0,1,64,102,13,8,Relegated
2013 - 2014,EHC Neuwied,Germany4,16,13,-,1,1,1,100,30,42,1,-
 ,EHC Neuwied,Germany3,14,8,-,4,0,2,70,65,26,3,-
2014 - 2015,EHC Neuwied,Germany3,28,19,-,8,1,0,166,101,59,2,-
 ,EHC Neuwied,Germany3,14,6,-,6,2,0,48,48,22,5,-
2015 - 2016,EHC Neuwied,Germany3,-,-,-,-,-,-,-,-,-,-,-
