DRtg,BLK%,AST%,Age,GS,Tm
125,0.0,0.0,26-080,1,NJN
105,0.0,0.0,25-295,0,CHI
124,0.0,0.0,26-008,0,NJN
118,0.0,0.0,26-035,1,NJN
109,0.0,7.6,26-069,1,NJN
102,0.0,0.0,25-302,0,CHI
95,0.0,9.5,25-285,0,CHI
117,0.0,0.0,26-034,1,NJN
132,0.0,0.0,25-337,0,NJN
99,0.0,0.0,26-064,1,NJN
113,0.0,8.7,25-355,0,NJN
115,0.0,0.0,26-037,1,NJN
116,0.0,0.0,26-021,0,NJN
125,0.0,0.0,26-050,0,NJN
127,0.0,0.0,25-284,0,CHI
113,0.0,0.0,25-357,0,NJN
115,5.1,22.2,25-303,0,CHI
104,0.0,14.8,25-316,0,CHI
112,0.0,0.0,25-349,0,NJN
99,2.2,0.0,26-085,1,NJN
115,0.0,7.3,26-006,0,NJN
