DRB%,MP,STL%,Tm,Opp,ORB%,G
4.0,24:00,2.0,PHO,MIN,4.2,4
10.5,26:00,0.0,PHO,GSW,0.0,10
0.0,18:00,0.0,PHO,HOU,0.0,24
7.1,17:00,0.0,PHO,LAC,0.0,47
4.3,30:00,3.0,PHO,MIL,3.4,13
37.2,3:00,0.0,PHO,NYK,0.0,43
0.0,7:00,0.0,PHO,POR,0.0,8
3.5,39:00,0.0,PHO,LAC,2.5,1
0.0,15:00,0.0,PHO,BOS,0.0,32
0.0,8:00,0.0,PHO,MIL,0.0,45
5.0,18:00,2.5,PHO,DEN,0.0,23
5.5,38:00,0.0,PHO,POR,3.3,2
8.0,12:00,0.0,PHO,UTA,0.0,36
8.9,24:00,0.0,PHO,POR,4.8,38
0.0,11:00,0.0,PHO,POR,0.0,50
10.1,25:00,3.7,PHO,CHH,6.9,15
0.0,1:00,0.0,PHO,PHI,0.0,39
0.0,28:00,3.5,PHO,ORL,10.5,16
0.0,25:00,0.0,PHO,DEN,0.0,21
9.2,13:00,0.0,PHO,LAL,16.1,44
4.6,27:00,0.0,PHO,HOU,0.0,35
8.7,24:00,2.0,PHO,SEA,0.0,22
0.0,1:00,0.0,PHO,GSW,0.0,9
0.0,15:00,0.0,PHO,MIN,7.6,29
4.5,26:00,0.0,PHO,UTA,12.0,48
7.6,14:00,3.3,PHO,DAL,0.0,25
12.5,24:00,0.0,PHO,LAL,12.5,19
11.5,11:00,0.0,PHO,SAS,0.0,34
