Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
C Beltran,BRK,CF,0.167,5,18,1,3,0,0,0,2,2,5,0,0,0,0,1,0.25,0.167,0.417
R Tello,TRI,OF,0.197,45,147,12,29,6,0,1,13,4,39,4,2,0,0,1,0.229,0.259,0.487
M Mansilla,ONE,LF,0.175,42,120,11,21,5,0,2,10,15,34,4,1,5,1,1,0.281,0.267,0.547
L Rivera,BRK,RF,0.297,66,222,38,66,14,3,4,34,37,53,13,3,0,3,4,0.402,0.441,0.844
J Martinez,BAT,LF,0.177,29,96,11,17,3,0,1,7,6,33,1,0,0,2,2,0.229,0.24,0.468
E Gomez,BAT,LF,0.222,3,9,0,2,1,0,0,2,0,3,0,0,0,0,0,0.222,0.333,0.556
E Iorg,TRI,RF,0.353,6,17,2,6,1,0,0,3,2,6,1,1,0,1,0,0.429,0.412,0.84
J Edwards,BAT,RF,0.232,29,112,11,26,4,1,2,13,5,46,1,0,0,1,3,0.269,0.339,0.608
S Head,MV,RF,0.286,2,7,2,2,0,0,1,3,0,1,0,0,0,0,0,0.286,0.714,1.0
R D Oleo,ABD,CF,0.205,63,220,27,45,12,5,1,20,21,64,7,1,2,2,2,0.275,0.318,0.593
C Rosero,SC,CF,0.2,3,10,0,2,0,0,0,2,1,2,0,0,0,0,0,0.273,0.2,0.473
E Garcia,SC,OF,0.189,38,127,9,24,2,2,0,17,5,42,6,3,1,2,1,0.216,0.236,0.453
A Bonevacia,ABD,RF,0.195,40,118,7,23,5,2,0,12,12,28,3,2,1,2,3,0.271,0.271,0.542
W Ramirez,AUB,RF,0.318,56,220,29,70,22,2,3,33,11,55,13,3,0,2,3,0.353,0.477,0.83
B Pruitt,VER,CF,0.208,17,48,6,10,2,1,0,5,9,11,1,2,1,0,2,0.345,0.292,0.636
J August,BRK,CF,0.167,3,6,1,1,0,0,0,0,1,2,0,0,0,0,0,0.286,0.167,0.452
C Hopkins,AUB,LF,0.217,55,157,35,34,10,1,0,12,24,45,10,1,4,0,4,0.324,0.293,0.617
N Medchill,SI,LF,0.278,62,216,42,60,13,2,14,41,24,66,7,2,1,2,4,0.35,0.551,0.901
C Uhl,WIL,LF,0.237,44,152,23,36,5,5,1,9,12,18,10,2,4,1,0,0.304,0.355,0.659
R Bermudez,LOW,CF,0.258,70,252,31,65,11,1,1,27,9,54,12,4,2,3,5,0.294,0.321,0.615
S Grimes,BRK,LF,0.226,15,53,5,12,1,0,2,7,6,13,0,0,1,0,0,0.305,0.358,0.664
A Espinoza,ONE,RF,0.256,65,223,24,57,15,6,2,24,14,64,9,6,0,1,3,0.327,0.404,0.73
R Feliz,LOW,LF,0.175,13,40,7,7,0,0,1,5,3,8,0,1,0,0,0,0.233,0.25,0.483
Z Almonte,SI,CF,0.274,69,259,43,71,20,1,7,39,31,58,15,7,1,1,8,0.355,0.44,0.795
D Ingram,BAT,CF,0.29,37,138,19,40,5,4,0,12,17,20,18,2,2,0,0,0.372,0.384,0.756
T Warren,WIL,LF,0.286,22,77,12,22,4,1,0,12,6,18,9,2,0,0,0,0.337,0.364,0.701
