Date,TOV%,GmSc,Opp,BLK%,TRB%,eFG%,STL%
1995-03-02, ,-0.2,MIL,0.0,17.1, ,0.0
1994-11-29,0.0,7.5,CHH,0.0,16.5,.625,0.0
1994-12-02,0.0,4.8,CHI,0.0,13.6,.500,2.7
1994-12-27,0.0,-1.4,HOU,0.0,6.8,.167,0.0
1994-11-09,0.0,-0.4,PHO,0.0,0.0,.000,0.0
1994-11-15,32.6,12.5,BOS,7.2,18.1,.875,4.6
1995-02-23,100.0,-0.4,DAL,0.0,0.0, ,10.8
1994-12-10,11.1,1.7,ORL,6.5,8.7,.375,0.0
1995-02-17,0.0,2.6,DAL,7.8,6.5,.500,6.1
1994-12-22,0.0,7.2,UTA,3.3,8.8,.833,5.0
1995-01-30,0.0,2.0,MIA,0.0,12.5,.333,0.0
1994-11-18,0.0,5.4,MIL,4.9,11.5,.286,3.3
1995-02-06,0.0,6.4,PHI,16.6,13.9,1.000,5.6
1995-01-25,0.0,-2.2,CHH,0.0,9.8,.000,0.0
1994-12-30,25.0,1.4,CLE,12.2,8.6,.333,4.4
1995-02-08,0.0,3.2,NJN,6.9,0.0,1.000,0.0
1994-12-09,25.8,3.8,NYK,3.4,14.3,.500,4.1
1994-11-12,0.0,0.4,SAC,0.0,21.3,.000,6.0
1995-01-13,0.0,0.8,ORL,0.0,9.2,.500,0.0
1995-01-07,0.0,3.6,NJN,0.0,13.2,.500,2.8
1995-04-07,0.0,2.7,IND,0.0,0.0,1.500,0.0
1994-11-23,0.0,-0.7,MIN,0.0,0.0,.000,0.0
1994-11-22,0.0,6.2,PHI,0.0,12.1,.583,0.0
1995-01-28, ,2.0,CHH,0.0,9.0, ,0.0
1995-03-05,50.0,-1.0,ORL,4.3,10.1,.000,0.0
1994-12-07,0.0,3.1,BOS,6.5,16.7,.222,2.5
1995-02-04,0.0,3.2,DET,6.4,17.4,.500,0.0
1994-11-25,0.0,3.0,LAL,0.0,23.0,.375,0.0
