Pos Summary,oWAR,162WL%,PA,G,Salary,Rbat,Rfield
1,0.0,.500,2,71,"$2,000,000",-1,0
9,-0.3,.492,202,62,"$800,000",-7,-5
1,0.0,.500,0,13, ,0,0
2,0.7,.502,177,79,"$715,000",-0,1
1,-0.0,.500,1,17, ,-0,0
23,-0.7,.489,412,128,"$318,000",-21,1
/3,-0.1,.499,4,2, ,-1,-1
1,0.1,.501,6,32,"$311,500",0,0
1,0.1,.501,2,83,"$3,000,000",0,0
78/9,0.0,.498,138,57, ,-3,0
1,0.0,.500,0,32,"$3,933,333",0,0
32/D,1.2,.491,528,129,"$16,071,429",5,-11
1,-0.1,.499,25,11, ,-5,0
1,0.0,.500,1,33,"$317,500",-0,0
1,0.0,.500,0,22, ,0,0
739,0.9,.496,300,130,"$302,500",5,-7
/2,0.0,.499,5,4, ,-0,-1
1,0.0,.500,2,60, ,-1,0
/1,-0.0,.500,7,3, ,-1,0
1,-0.2,.499,59,30,"$10,295,600",-10,0
9,0.2,.499,53,15, ,1,-2
1,0.6,.504,72,35,"$10,765,608",-4,0
5,1.7,.508,283,69, ,6,4
/1,-0.0,.500,3,2,"$700,000",-1,0
*8,2.3,.499,562,140,"$4,333,333",1,-8
/1,-0.0,.500,2,2, ,-1,0
1,0.0,.500,0,52,"$1,000,000",0,0
463/7859,-0.4,.496,154,75,"$500,000",-9,2
35/21,-0.6,.490,396,137,"$1,000,000",-10,2
*6/4,1.7,.497,509,114,"$5,033,333",-5,-7
