Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 15,Texas-RGV,"L, 7-1",0,0,0,-,-,-,0,-,-,-,-
Feb 16,Texas-RGV,"W, 6-0",-,-,-,-,-,-,-,-,-,-,-
Feb 16,Texas-RGV,"W, 4-1",-,-,-,-,-,-,-,-,-,-,-
Feb 17,Texas-RGV,"W, 12-7",-,-,-,-,-,-,-,-,-,-,-
Feb 20,UTSA,"L, 19-4",0,0,0,-,-,-,0,-,-,-,-
Feb 22,New Mexico,"L, 7-0",-,-,-,-,-,-,-,-,-,-,-
Feb 23,Oklahoma,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
Feb 24,Iowa,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
Feb 26,Texas State,"W, 7-3",0,0,0,-,-,-,0,-,-,-,-
Mar 1,Dallas Baptist,"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
Mar 2,Dallas Baptist,"W, 6-3",0,0,0,-,-,-,0,-,-,-,-
Mar 3,Dallas Baptist,"W, 11-10",0,0,0,-,-,-,0,-,-,-,-
Mar 6,Incarnate Word,"W, 7-2",-,-,-,-,-,-,-,-,-,-,-
Mar 8,at Houston,"L, 13-0",-,-,-,-,-,-,-,-,-,-,-
Mar 9,at Houston,"W, 9-3",0,0,0,-,-,-,0,-,-,-,-
Mar 10,at Houston,"L, 3-1",-,-,-,-,-,-,-,-,-,-,-
Mar 15,at Texas State,"W, 23-7",-,-,-,-,-,-,-,-,-,-,-
Mar 16,at Texas State,"L, 5-3",0,0,0,-,-,-,0,-,-,-,-
Mar 17,at Texas State,"L, 7-1",-,-,-,-,-,-,-,-,-,-,-
Mar 18,Harvard,"W, 7-6",0,0,0,-,-,-,0,-,-,-,-
Mar 21,at Houston-Victoria,"W, 8-6",-,-,-,-,-,-,-,-,-,-,-
Mar 22,at Sam Houston State,"L, 5-0",0,0,0,-,-,-,0,-,-,-,-
Mar 23,at Sam Houston State,"W, 6-5",0,0,0,-,-,-,0,-,-,-,-
Mar 24,at Sam Houston State,"L, 5-3",-,-,-,-,-,-,-,-,-,-,-
Mar 27,Houston Baptist,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 28,Oral Roberts,"L, 8-2",0,0,0,-,-,-,0,-,-,-,-
Mar 29,Oral Roberts,"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
Mar 30,Oral Roberts,"W, 9-3",-,-,-,-,-,-,-,-,-,-,-
Apr 2,at Texas, ,-,-,-,-,-,-,-,-,-,-,-
Apr 3,at Corpus Christi Hooks,"L, 7-3",0,0,0,-,-,-,0,-,-,-,-
Apr 5,at Nicholls,"W, 13-1",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Nicholls,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
Apr 7,at Nicholls,"W, 2-1",0,0,0,-,-,-,0,-,-,-,-
Apr 9,at UTSA,"L, 12-5",-,-,-,-,-,-,-,-,-,-,-
Apr 12,Northwestern State,"L, 12-1",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Northwestern State,"W, 11-0",-,-,-,-,-,-,-,-,-,-,-
Apr 14,Northwestern State,"W, 12-2",0,0,0,-,-,-,0,-,-,-,-
Apr 16,at Houston Baptist,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
Apr 19,Central Arkansas,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
Apr 20,Central Arkansas,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-
Apr 21,Central Arkansas,"L, 8-7",0,0,0,-,-,-,0,-,-,-,-
Apr 23,Houston-Victoria,"W, 8-1",-,-,-,-,-,-,-,-,-,-,-
Apr 26,at Southeastern La.,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
Apr 27,at Southeastern La.,"W, 8-5",-,-,-,-,-,-,-,-,-,-,-
Apr 27,at Southeastern La.,"L, 5-4",0,0,0,-,-,-,0,-,-,-,-
Apr 30,at Texas-RGV,"W, 4-2",0,0,0,-,-,-,0,-,-,-,-
Apr 30,at Texas-RGV,"L, 9-8",-,-,-,-,-,-,-,-,-,-,-
May 3,McNeese State,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
May 4,McNeese State,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-
May 5,McNeese State,"W, 9-1",0,0,0,-,-,-,0,-,-,-,-
May 10,Lamar,"W, 9-7",-,-,-,-,-,-,-,-,-,-,-
May 11,Lamar,"L, 10-7",-,-,-,-,-,-,-,-,-,-,-
May 12,Lamar,"W, 17-15",0,0,0,-,-,-,0,-,-,-,-
May 16,at Stephen F. Austin,"W, 4-2",-,-,-,-,-,-,-,-,-,-,-
May 17,at Stephen F. Austin,"W, 6-3",-,-,-,-,-,-,-,-,-,-,-
May 18,at Stephen F. Austin,"L, 6-1",0,0,0,-,-,-,0,-,-,-,-
May 22,vs. Central Arkansas,"W, 5-3",0,0,0,-,-,-,0,-,-,-,-
May 23,vs. Oral Roberts,"L, 6-1",-,-,-,-,-,-,-,-,-,-,-
May 24,vs. Central Arkansas,"L, 8-1",0,0,0,-,-,-,0,-,-,-,-
