AST%,TRB%,Opp,Age,TS%,STL%,GmSc,ORB%
0.0,0.0,WAS,29-221,1.136,0.0,1.6,0.0
18.0,10.6,CLE,29-242,.512,4.6,3.9,23.0
0.0,10.5,SAC,29-279,.773,2.9,5.0,14.4
0.0,10.9,DAL,29-299,.250,0.0,-0.2,0.0
12.0,5.3,MIA,29-217, ,0.0,0.2,0.0
0.0,7.7,MIL,30-014,.370,0.0,-2.6,0.0
7.2,8.1,NYK,29-316,.824,2.5,5.7,9.7
31.3,18.4,DAL,29-219,.820,0.0,7.3,25.7
0.0,13.0,NYK,29-345,.000,0.0,-0.8,0.0
0.0,18.7,CHI,29-317,.370,0.0,3.6,0.0
0.0,12.2,ORL,30-019,.333,0.0,-1.1,9.0
0.0,9.5,BOS,29-305,.266,8.0,3.7,14.1
0.0,25.7,MIN,29-338,.315,7.2,2.8,32.4
0.0,17.8,DET,30-012, ,0.0,-1.1,0.0
0.0,0.0,CLE,29-270,.000,0.0,-4.9,0.0
19.0,12.0,TOR,29-253,.750,8.6,7.5,0.0
0.0,16.6,NYK,29-214,.333,0.0,0.4,9.9
0.0,24.0,NJN,29-288,.200,0.0,0.6,20.0
0.0,10.5,DET,29-331,1.000,0.0,1.6,11.8
32.3,12.4,NJN,30-015,.429,0.0,5.7,12.4
18.8,20.3,BOS,29-309,.400,2.8,5.5,25.9
0.0,10.9,TOR,29-294,.888,0.0,9.6,0.0
0.0,9.8,ORL,29-347,.750,3.1,8.9,7.6
14.0,22.5,MIL,29-360,.000,0.0,-0.2,12.7
0.0,11.4,MIL,29-248,.870,3.1,9.2,7.8
7.6,9.3,HOU,29-297,.415,0.0,3.8,0.0
0.0,12.6,UTA,29-322,.000,2.8,-1.2,6.3
18.2,8.1,CHI,29-296,.538,0.0,9.3,3.5
0.0,10.4,LAC,29-327,1.136,0.0,-0.3,0.0
34.8,14.6,CHI,29-256,.750,4.7,9.1,10.0
12.3,0.0,NJN,30-006,.568,0.0,0.1,0.0
20.5,0.0,DET,29-290,.250,0.0,-0.1,0.0
4.7,10.3,DEN,29-350,.667,6.3,12.8,6.6
0.0,18.2,VAN,29-284,.500,0.0,-1.1,10.5
0.0,6.2,NJN,29-342,.904,0.0,3.5,0.0
0.0,21.3,MIA,29-277,.400,0.0,0.9,46.5
0.0,9.1,IND,29-222, ,0.0,-1.1,0.0
