2B,BA,HR,Name,SB,BB,PA,Yrs,From
0,0.0,0,Dean Hartgraves,0,0,5,3,1995
11,0.245,5,Jason Wood,1,15,218,5,1998
0, ,0,Erik Schullstrom,0,0,0,2,1994
0,0.043,0,Rich Bordi,0,1,24,9,1980
1,0.143,0,Pete Dalena,0,0,7,1,1989
1080,0.254,381,School Totals,819,1825,27808,264,1931
0, ,0,C.J. Fick,0,0,0,1,2012
0, ,0,Chuck Nieson,0,0,0,1,1964
3,0.09,0,Matt Garza,0,4,231,10,2006
0,0.063,0,Earl Smith,0,4,21,1,1955
0,0.0,0,Josh Labandeira,0,0,14,1,2004
2,0.261,0,Ron Johnson,0,7,53,3,1982
1,0.143,0,Steve Susdorf,0,0,7,1,2013
0,0.0,0,Howard Craghead,0,0,3,2,1931
0,0.0,0,Adam Pettyjohn,0,0,3,2,2001
203,0.27,74,Dan Gladden,222,337,4962,11,1983
1,0.097,0,Dennis Springer,0,0,77,8,1995
125,0.268,24,Tom Goodwin,369,365,4315,14,1991
0,0.231,0,Jimy Williams,0,1,14,2,1966
8,0.198,5,Eric Fox,5,21,290,4,1992
0,0.059,0,Thad Tillotson,0,1,20,2,1967
0,0.0,0,Buzz Stephen,0,0,4,1,1968
0,0.0,0,Justin Miller,0,0,2,2,2014
356,0.27,140,Terry Pendleton,127,486,7637,15,1984
0, ,0,Tanner Scheppers,0,0,0,4,2012
