T,I,P,D,J,K
270,Auckland- Waitemata,465,Waitemata and Gulf Ward,432,431
214,Auckland- Henderson-Massey,226,Waitakere Ward,280,274
304,Auckland- Whau,338,Whau Ward, ,35
231,Auckland- Whau,197,Whau Ward,198,216
29,Auckland- Papakura,14,Manurewa-Papakura Ward,29,30
785,Auckland- Howick,754,Howick Ward,714,714
718,Auckland- Kaipatiki,804,North Shore Ward,919,958
31,Auckland- Maungakiekie-Tamaki,66,Maungakiekie-Tamaki Ward,46,50
149,Auckland- Puketapapa,141,Albert-Eden-Roskill Ward,165,159
184,Auckland- Devonport-Takapuna,161,North Shore Ward,155,142
536,Auckland- Devonport-Takapuna,517,North Shore Ward,533,533
594,Auckland- Albert-Eden,516,Albert-Eden-Roskill Ward,484,498
729,Auckland- Albert-Eden,663,Albert-Eden-Roskill Ward,708,650
386,Auckland- Waitemata,331,Waitemata and Gulf Ward,336,328
244,Auckland- Henderson-Massey,324,Waitakere Ward,591,586
463,Auckland- Manurewa,458,Manurewa-Papakura Ward,456,475
457,Auckland- Kaipatiki,476,North Shore Ward,589,606
136,Auckland- Papakura,144,Manurewa-Papakura Ward,127,148
533,Auckland- Waitemata,521,Waitemata and Gulf Ward,1913,1016
116,Auckland- Franklin,121,Franklin Ward,107,98
452,Auckland- Orakei,435,Orakei Ward,458,460
54,Auckland- Puketapapa,55,Albert-Eden-Roskill Ward,63,61
971,Auckland- Otara-Papatoetoe,986,Manukau Ward,885,888
704,Auckland- Howick,614,Howick Ward, , 
342,Auckland- Kaipatiki,328,North Shore Ward,377,349
719,Auckland- Waitemata,650,Waitemata and Gulf Ward,353,360
352,Auckland- Devonport-Takapuna,331,North Shore Ward,294,276
124,Auckland- Franklin,103,Franklin Ward,110,123
41,Auckland- Manurewa,42,Manurewa-Papakura Ward,55,48
259,Auckland- Henderson-Massey,115,Waitakere Ward, , 
1382,Auckland- Albert-Eden,1490,Albert-Eden-Roskill Ward,1549,1545
444,Auckland- Howick,377,Howick Ward,341,316
370,Auckland- Devonport-Takapuna,298,North Shore Ward,331,320
415,Auckland- Maungakiekie-Tamaki,427,Maungakiekie-Tamaki Ward,466,446
244,Auckland- Rodney,191,Rodney Ward,298,319
611,Auckland- Papakura,508,Manurewa-Papakura Ward,565,560
131,Auckland- Howick,160,Howick Ward,222,205
719,Auckland- Devonport-Takapuna,661,North Shore Ward,688,662
315,Auckland- Whau,400,Whau Ward,483,521
27,Auckland- Manurewa,24,Manurewa-Papakura Ward, , 
