DRB%,Tm,GmSc,Age
42.6,IND,4.5,34-048
16.4,IND,6.6,33-357
31.3,IND,2.8,34-023
14.9,IND,7.1,34-006
45.9,IND,6.1,34-058
18.5,IND,3.9,34-038
9.4,IND,6.1,33-351
16.1,IND,8.0,34-021
7.5,IND,6.9,33-346
35.9,IND,8.4,34-062
14.4,IND,3.7,33-306
21.1,IND,6.8,34-037
36.5,IND,2.7,33-337
8.3,IND,-0.9,34-056
22.3,IND,1.8,34-064
0.0,IND,2.7,34-059
25.6,IND,5.7,34-015
17.7,IND,1.9,34-068
28.9,IND,6.5,34-017
13.8,IND,4.3,34-061
9.2,IND,1.1,33-356
20.9,IND,2.5,34-045
0.0,IND,1.0,33-329
31.3,IND,0.3,34-084
28.8,IND,6.4,34-010
