No.,Name,Yr,Pos,gp,g,a,pts,sh,sh%,sog,sog%,gw,ds,ps-att
0.0,Emily Badis,Jr,GK,18,0,0,0,0,-,0,-,0,0,0-0
1.0,Megan McLaughlin,Fr,GK,4,0,0,0,0,-,0,-,0,0,0-0
3.0,Taylor Rotsted,Sr,D,9,0,0,0,0,-,0,-,0,0,0-0
4.0,Haley Kane,So, ,18,14,5,33,39,.359,31,.795,1,0,0-1
5.0,Christine Downie,Jr,F,18,3,1,7,14,.214,10,.714,1,0,0-0
6.0,Maura Flynn,Sr,D,16,0,0,0,1,.000,1,1.000,0,1,0-0
7.0,Caitlin Baker,Sr, ,18,12,11,35,83,.145,52,.627,2,0,0-0
9.0,Christine Loehr,Fr,F,18,5,7,17,33,.152,25,.758,1,0,0-0
10.0,Carlee Budd,So,D,18,9,3,21,49,.184,28,.571,1,3,3-3
11.0,Ashlin Jones,Fr,F,17,12,0,24,26,.462,22,.846,3,0,0-0
12.0,Jenna Steele,So,F,18,15,8,38,93,.161,66,.710,4,0,0-0
13.0,Mallory Peebles,Sr, ,15,0,2,2,13,.000,11,.846,0,0,0-0
14.0,Nicole Guinn,So,F,12,5,2,12,12,.417,10,.833,0,0,0-0
15.0,Katlyn Taliaferro,Fr,F,10,2,0,4,9,.222,6,.667,0,0,0-0
16.0,Hunter Causey,So,D,18,1,0,2,2,.500,2,1.000,0,0,0-0
17.0,Caroline Deale,Fr, ,9,0,0,0,2,.000,2,1.000,0,0,0-0
18.0,Kristen Johnson,Fr,D,3,0,0,0,0,-,0,-,0,0,0-0
20.0,Christina Malave,Fr,D,10,0,0,0,0,-,0,-,0,2,0-0
21.0,Jenna Nojaim,Fr,D,6,0,1,1,1,.000,1,1.000,0,0,0-0
23.0,Kathleen Namey,So,D,18,4,7,15,56,.071,29,.518,2,2,0-2
24.0,Sarah Rankin,Sr,F,3,1,0,2,1,1.000,1,1.000,0,0,0-0
 ,Totals, , ,18,84,48,216,441,.190,302,.685,15,8,3-6
 ,Opponent, , ,18,24,10,58,196,.122,127,.648,3,15,0-0
