2B,R,Player,Opp,HR,Game Date
2,2,Derek Bell,PHI,0,1997-08-17
2,1,Craig Biggio,PIT,0,1997-07-10
0,2,Russ Johnson,PIT,1,1997-09-26
0,2,Craig Biggio,LAN,2,1997-04-20
0,2,Jeff Bagwell,CIN,2,1997-07-06
0,1,Jeff Bagwell,ATL,0,1997-08-26
3,1,Tim Bogar,CHN,0,1997-06-21
0,0,Craig Biggio,CHA,0,1997-08-31
0,0,Ken Ramos,PHI,0,1997-05-16
0,1,Derek Bell,LAN,0,1997-09-13
0,2,Brad Ausmus,CHN,1,1997-07-14
0,2,Chris Holt,COL,0,1997-08-21
0,0,Russ Johnson,ATL,0,1997-04-08
0,2,Craig Biggio,FLO,0,1997-08-12
0,1,Pat Listach,CHN,0,1997-06-21
1,1,Chuck Carr,COL,0,1997-09-09
0,0,Tom Martin,ATL,0,1997-04-02
0,1,Luis Gonzalez,SLN,0,1997-04-11
0,3,Jeff Bagwell,PHI,2,1997-05-19
1,1,Derek Bell,MON,0,1997-04-16
0,2,Jeff Bagwell,PHI,1,1997-05-16
0,0,Oscar Henriquez,SFN,0,1997-09-07
0,1,Jeff Bagwell,CIN,1,1997-09-20
0,1,Chris Holt,PHI,0,1997-05-05
1,1,Ramon Garcia,NYN,0,1997-08-11
