Season,Num,MT,Team,K,Avg,H,D,M,HO,T,FF,FA,G,B,SC,Rat
2015,3.0,15,Sydney,191,94.5,153,344,83,0,66,7,9,7,4,46,1418
2014,3.0,25,Sydney,327,92.8,255,582,105,0,110,9,11,15,9,99,2321
2013,3.0,25,Sydney,404,100.0,284,688,102,0,88,15,19,16,7,103,2499
2012,3.0,25,Sydney,352,92.3,264,616,108,0,80,16,19,18,13,121,2308
2011,3.0,22,Sydney,297,88.7,173,470,81,0,97,19,20,19,11,125,1952
2010,3.0,24,Sydney,277,83.2,240,517,91,0,85,19,18,16,11,107,1996
2009,3.0,18,Sydney,189,80.8,190,379,69,0,56,10,9,14,10,94,1455
2008,3.0,24,Sydney,251,83.5,216,467,114,2,75,18,16,32,14,206,2005
2007,3.0,23,Sydney,212,60.0,106,318,105,0,52,11,28,11,15,81,1379
2006,3.0,25,Sydney,173,51.7,79,252,82,0,71,16,21,21,7,133,1293
2005,3.0,13,Sydney,66,40.6,54,120,34,1,28,1,8,4,6,30,528
2004,3.0,20,Sydney,85,31.0,60,145,32,0,26,10,3,6,7,43,619
Totals, ,259, ,2824,76.3,2074,4898,1006,3,834,151,181,179,114,1188,19773
