TOV%,Tm,Opp,GS,GmSc,Age,DRtg,eFG%,STL%
 ,CHI,WAS,0,0.0,27-166,115, ,0.0
100.0,CHI,DEN,0,-1.0,27-203,114, ,0.0
11.1,CHI,ORL,0,6.5,27-274,103,.500,0.0
0.0,CHI,CHA,0,9.0,27-277,97,.800,6.8
 ,CHI,PHO,0,-0.1,27-222,119, ,0.0
20.0,CHI,IND,0,0.9,27-201,108,.500,0.0
0.0,CHI,LAC,0,1.7,27-230,101,1.000,0.0
23.3,CHI,PHI,1,10.5,27-243,110,.667,0.0
0.0,CHI,GSW,0,2.8,27-140,111,.500,0.0
20.0,CHI,MIL,1,-1.6,27-261,99,.000,5.0
13.4,CHI,WAS,1,1.6,27-265,121,.333,0.0
 ,CHI,UTA,0,0.0,27-224,121, ,0.0
16.7,CHI,TOR,0,1.1,27-212,96,.400,0.0
0.0,CHI,WAS,0,2.3,27-214,98,.500,0.0
0.0,CHI,DET,1,9.4,27-254,117,.571,2.4
9.1,CHI,NJN,1,-0.4,27-253,91,.200,5.0
0.0,CHI,PHI,1,5.7,27-285,104,.333,2.2
0.0,CHI,DET,0,-1.5,27-159,114,.000,0.0
20.0,CHI,DET,0,2.7,27-172,129,.500,0.0
50.0,CHI,BOS,0,-0.4,27-173,88,.500,0.0
0.0,CHI,IND,0,7.6,27-281,119,.556,0.0
34.0,CHI,ATL,0,8.0,27-215,93,1.000,0.0
25.0,CHI,MEM,0,2.6,27-194,93,.667,0.0
0.0,CHI,CHA,0,-0.7,27-128,110,.000,0.0
0.0,CHI,DET,0,3.2,27-242,102,.750,0.0
