1850,1960,1860,1830,State/Territory,1820,1890,1950,1840
22.2%,13.6%,19.3%,24.9%,Delaware,24.0%,16.8%,13.7%,25.0%
 ,0.1%, , ,North Dakota, ,0.2%,0.0%, 
51.2%,42.0%,55.3%,48.4%,Mississippi,44.1%,57.6%,45.3%,52.3%
42.4%,28.5%,44.0%,42.6%,Georgia,44.4%,46.7%,30.9%,41.0%
 ,3.0%, , ,Alaska, , , , 
 ,0.7%, , ,Wyoming, ,1.5%,0.9%, 
28.3%,16.7%,24.9%,34.9%,Maryland,36.1%,20.7%,16.5%,32.3%
15.7%,10.5%,14.1%,18.1%,United States of America,18.4%,11.9%,10.0%,16.8%
45.0%,20.6%,43.3%,47.9%,Virginia,47.8%,38.4%,22.1%,46.9%
4.9%,8.5%,3.8%,6.4%,New Jersey,7.2%,3.3%,6.6%,5.8%
44.7%,30.0%,45.4%,38.5%,Alabama,33.2%,44.8%,32.0%,43.3%
27.5%,12.4%,30.3%, ,Texas, ,21.8%,12.7%, 
1.1%,5.8%,0.8%,1.1%,Indiana,1.0%,2.1%,4.4%,1.0%
22.5%,7.1%,20.4%,24.7%,Kentucky,22.9%,14.4%,6.9%,24.3%
13.2%,9.0%,10.0%,18.3%,Missouri,15.9%,5.6%,7.5%,15.6%
1.0%,5.6%,1.1%, ,California, ,0.9%,4.4%, 
46.0%,17.8%,44.6%,47.1%,Florida, ,42.5%,21.8%,48.7%
0.2%,0.9%,0.2%, ,Iowa, ,0.6%,0.8%,0.4%
 ,2.3%,0.1%, ,Colorado, ,1.5%,1.5%, 
2.5%,2.1%,2.3%,3.7%,Rhode Island,4.3%,2.1%,1.8%,3.0%
58.9%,34.8%,58.6%,55.6%,South Carolina,52.8%,59.8%,38.8%,56.4%
1.3%,8.1%,1.6%,1.0%,Ohio,0.8%,2.4%,6.5%,1.1%
 ,0.2%, , ,Montana, ,1.0%,0.2%, 
0.6%,10.3%,0.4%,1.5%,Illinois,2.5%,1.5%,7.4%,0.8%
0.6%,0.7%,0.2%, ,Minnesota, ,0.3%,0.5%, 
 , , , ,Puerto Rico, , , , 
