eFG%,BLK%,Rk,TRB%,Tm,TOV%,DRB%
.000,14.0,52,26.8,DET,50.0,54.4
 ,3.1,53,18.1,DET,18.5,25.2
.000,0.0,54,24.9,DET,0.0,34.7
 ,0.0,16,9.0,DET,100.0,10.4
.500,0.0,6,18.1,DET,0.0,20.2
 ,0.0,11,25.4,DET, ,35.0
.333,18.6,8,11.5,DET,0.0,26.9
1.000,4.7,15,5.7,DET,75.0,0.0
 ,0.0,41,19.3,DET, ,33.3
 ,0.0,45,13.2,DET,0.0,22.5
 ,7.4,26,19.7,DET,100.0,36.1
 ,4.7,55,15.3,DET,100.0,19.3
.000,0.0,42,20.1,DET,0.0,27.9
 ,0.0,21,13.3,DET, ,30.2
 ,0.0,34,0.0,DET, ,0.0
.000,0.0,57,15.3,DET,0.0,23.3
.500,4.9,20,17.3,DET,60.0,39.1
.000,0.0,61,12.4,DET,0.0,16.3
.429,2.9,62,28.4,DET,20.2,37.1
1.250,2.6,29,10.7,DET,26.6,8.3
.000,0.0,23,26.6,DET,33.3,29.9
.000,12.4,14,13.3,DET,0.0,13.5
.500,5.0,36,19.7,DET,0.0,30.2
1.000,0.0,4,23.3,DET,0.0,33.0
.000,9.1,44,24.5,DET,33.3,34.6
 ,7.1,9,21.0,DET, ,31.5
.000,0.0,7,0.0,DET,0.0,0.0
.000,0.0,25,18.9,DET,50.0,39.8
.000,11.0,19,14.9,DET,0.0,11.7
.667,6.0,27,21.3,DET,0.0,31.6
.000,3.1,31,18.3,DET,0.0,34.5
 ,0.0,24,0.0,DET, ,0.0
 ,6.5,59,15.9,DET, ,10.1
.000,0.0,40,25.9,DET,0.0,35.8
.667,0.0,56,13.0,DET,20.5,13.9
 ,0.0,37,27.1,DET,100.0,61.2
