Player,Pos,Team,Opp,Solos,Assists,Sacks,Forced Fumbles,Recovered Fumbles,INTs,Pass Defensed,FF Pts
A.J. Hawk,LB,CIN,@CLE,6,3,0.0,0,0,0,0,15.0
Ahtyba Rubin,DT,SEA,NE,0,0,0.0,0,0,0,0,0.0
Akeem Ayers,LB,STL,@MIA,3,4,0.0,0,0,0,0,10.0
Aldon Smith,LB,SF,NYG,3,1,2.0,0,0,0,0,13.0
Alterraun Verner,CB,TB,KC,6,2,0.0,0,0,0,1,15.0
Antoine Bethea,S,SF,NYG,4,2,0.0,0,0,0,0,10.0
Bobby Wagner,LB,SEA,NE,2,2,0.0,0,0,0,0,6.0
Brandon Mebane,DT,SEA,NE,4,2,0.0,0,0,0,0,10.0
Brian Cushing,LB,HOU,GB,0,0,0.0,0,0,0,0,0.0
Brian Robison,DE,MIN,@WAS,1,2,1.0,0,0,0,0,7.0
Bruce Carter,LB,TB,KC,5,2,0.0,0,0,0,0,12.0
Bruce Irvin,LB,SEA,NE,1,0,1.0,0,0,0,0,5.0
Calais Campbell,DE,ARI,BUF,2,1,1.0,0,0,0,0,8.0
Cameron Wake,DE,MIA,STL,3,1,2.0,1,0,0,0,16.0
Carlos Dunlap,DE,CIN,@CLE,2,0,0.0,0,0,0,0,4.0
Chad Greenway,LB,MIN,@WAS,8,6,0.0,0,0,0,0,22.0
Chandler Jones,DE,NE,@SEA,1,2,0.0,0,0,0,0,4.0
Charles Woodson,S,OAK,@ATL,4,2,0.0,0,0,0,2,12.0
Chris Long,DE,STL,@MIA,1,0,1.0,0,0,0,0,5.0
Clay Matthews,LB,GB,@HOU,3,0,0.0,0,0,0,0,6.0
Cliff Avril,DE,SEA,NE,2,1,1.0,1,0,0,0,11.0
Craig Dahl,S,SF,NYG,5,1,0.0,0,0,0,0,11.0
D'Qwell Jackson,LB,IND,@NYJ,6,3,0.0,0,0,0,0,15.0
Danny McCray,CB,DAL,@BAL,4,1,0.0,0,0,0,0,9.0
Darnell Dockett,DE,SF,NYG,1,0,0.0,0,0,0,0,2.0
Daryl Washington,LB,ARI,BUF,6,2,0.0,0,0,0,0,14.0
David Harris,LB,NYJ,IND,6,3,0.0,0,0,0,0,15.0
DeAngelo Hall,CB,WAS,MIN,6,3,0.0,0,0,0,2,17.0
DeMeco Ryans,LB,PHI,DET,6,3,0.0,0,0,0,1,16.0
Demarcus Ware,DE,DEN,@SD,5,0,1.0,0,0,0,0,13.0
Derrick Johnson,LB,KC,@TB,6,0,0.0,0,0,0,0,12.0
Derrick Morgan,LB,TEN,PIT,4,2,1.0,0,0,0,0,13.0
Donald Butler,LB,SD,DEN,8,3,0.0,0,0,0,0,19.0
Dont'a Hightower,LB,NE,@SEA,0,0,0.0,0,0,0,0,0.0
Earl Thomas,S,SEA,NE,5,2,0.0,0,0,1,1,16.0
Elvis Dumervil,LB,BAL,DAL,3,0,2.0,0,0,0,0,12.0
Eric Berry,S,KC,@TB,6,0,0.0,0,0,0,0,12.0
Eric Weddle,S,SD,DEN,3,1,0.0,0,0,0,0,7.0
Erin Henderson,LB,NYJ,IND,3,3,0.0,0,0,0,0,9.0
