Year,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,OBP,SLG,AVG
2015,Kansas City,AL,96,364,54,114,19,4,11,55,33,71,4,2,0.372,0.478,0.313
2014,Kansas City,AL,131,503,54,136,35,1,9,58,35,93,4,2,0.318,0.398,0.27
 ,Omaha,AAA,2,10,2,3,0,0,1,3,1,3,0,0,0.364,0.6,0.3
2013,Kansas City,AL,159,623,86,188,34,3,17,79,51,100,11,4,0.353,0.448,0.302
2012,Kansas City,AL,152,535,65,124,22,2,14,60,56,95,16,1,0.304,0.359,0.232
2011,Kansas City,AL,128,523,66,153,27,3,19,78,34,82,11,5,0.334,0.465,0.293
 ,Omaha,AAA,26,98,21,43,5,0,3,15,19,16,3,0,0.525,0.582,0.439
2010,NW Arkansas,AA,50,195,39,61,14,3,13,35,15,27,3,1,0.365,0.615,0.313
 ,Wilmington,A,87,325,48,115,29,6,7,51,44,39,11,1,0.429,0.545,0.354
2009,Wilmington,A,27,97,9,20,2,2,1,10,9,22,0,0,0.28,0.299,0.206
 ,Burlington,A,79,280,31,71,17,2,5,49,44,68,3,2,0.352,0.382,0.254
2008,Idaho Falls,R,3,11,2,4,2,0,0,2,3,2,0,0,0.533,0.545,0.364
AL,Total,AL,666,2548,325,715,137,13,70,330,209,441,46,14,0.335,0.427,0.281
AAA,Total,AAA,28,108,23,46,5,0,4,18,20,19,3,0,0.512,0.583,0.426
AA,Total,AA,50,195,39,61,14,3,13,35,15,27,3,1,0.365,0.615,0.313
A,Total,A,193,702,88,206,48,10,13,110,97,129,14,3,0.378,0.446,0.293
R,Total,R,3,11,2,4,2,0,0,2,3,2,0,0,0.533,0.545,0.364
